escuela,tipo,clas,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
FCyA,cubiculos,cap,,,,7,,24,,95,,95,76,,,,,,,
FCyA,cafeterias,num,,1,1,1,,1,,2,,,,,,,,,,
FCyA,cafeterias,cap,,35,35,40,,60,,260,,,,,,,,,,
FCyA,oficinas administrativas,num,,,,,,23,,23,,,,,,,,,,
FCyA,oficinas administrativas,cap,,,,,,104,,104,,,,,,,,,,
FD,Salones de clase,num,33,50,50,50,,41,,44,,48,65,54,54,71,70,66,71,70
FD,Salones de clase,cap,2940,3490,3490,3490,,2417,,2417,,3454,5200,3979,3979,3979,5182,5044,5461,5388
FD,bibliotecas,num,1,1,1,1,,2,,2,,2,1,,,,16,16,16,16
FD,bibliotecas,cap,195,262,262,262,,130,,210,,210,154,,,,400,400,478,585
FD,auditorios,num,1,1,1,1,,2,,4,,2,2,,,,,,,
FD,auditorios,cap,214,208,208,208,,469,,585,,483,400,,,,,,,
FD,laboratorios,num,9,,,,,,,,,,1,,,6,1,2,1,1
FD,laboratorios,cap,260,,,,,,,,,,10,,,,38,60,37,36
FD,talleres de docencia,num,,,,,,,,,,,,,,1,,,,
FD,talleres de docencia,cap,,,,,,,,,,,,,,,,,,
FD,cubiculos,num,,,,,,6,,6,,6,43,,,,,,,
FD,cubiculos,cap,,,,,,22,,21,,31,33,,,,,,,
FD,cafeterias,num,,1,1,1,,1,,1,,,,,,,,,,
FD,cafeterias,cap,,120,120,120,,90,,200,,,,,,,,,,
FD,oficinas administrativas,num,,,,,,12,,,,,,,,,,,,
FD,oficinas administrativas,cap,,,,,,108,,,,,,,,,,,,
FE,Salones de clase,num,20,21,21,23,,20,,23,,28,37,37,37,37,46,45,53,47
FE,Salones de clase,cap,1302,1333,1333,1576,,1684,,1892,,1892,1943,1943,1943,1943,3019,2480,3253,3048
FE,bibliotecas,num,1,1,1,1,,1,,1,,2,2,,,,1,1,2,2
FE,bibliotecas,cap,112,120,120,200,,180,,180,,200,160,,,,175,144,141,110
FE,auditorios,num,1,1,1,1,,1,,1,,1,1,,,,,,,
FE,auditorios,cap,224,224,224,224,,224,,233,,233,240,,,,,,,
FE,laboratorios,num,1,1,1,1,,,,1,,1,,,,1,,,,2
FE,laboratorios,cap,31,30,30,12,,,,14,,28,,,,,,,,97
FE,talleres de docencia,num,,,,,,,,,,,,,,3,,,,
FE,talleres de docencia,cap,,,,,,,,,,,,,,,,,,
FE,cubiculos,num,10,10,10,10,,18,,21,,36,12,,,,,,,
FE,cubiculos,cap,10,10,10,10,,38,,59,,80,24,,,,,,,
FE,cafeterias,num,,1,1,1,,1,,,,,,,,,,,,
FE,cafeterias,cap,,65,65,32,,36,,,,,,,,,,,,
FE,oficinas administrativas,num,,,,,,18,,,,,,,,,,,,
FE,oficinas administrativas,cap,,,,,,112,,,,,,,,,,,,
FFyL,Salones de clase,num,30,28,28,28,,29,,33,,71,43,83,83,83,78,58,66,48
FFyL,Salones de clase,cap,1844,1800,1800,1800,,1620,,1696,,3954,3568,5568,5568,5568,2660,2690,2679,998
FFyL,bibliotecas,num,2,2,2,2,,3,,1,,19,2,,,,8,2,3,9
FFyL,bibliotecas,cap,76,120,120,120,,100,,50,,529,120,,,,130,120,106,194
FFyL,auditorios,num,2,2,2,2,,1,,1,,4,2,,,,,,,
FFyL,auditorios,cap,830,830,830,830,,735,,853,,1100,742,,,,,,,
FFyL,laboratorios,num,5,15,15,15,,6,,22,,6,5,9,9,9,5,3,2,1
FFyL,laboratorios,cap,153,50,50,50,,46,,457,,177,50,,,,100,250,80,50
FFyL,talleres de docencia,num,6,4,4,4,,,,8,,,,,,,2,2,,14
FFyL,talleres de docencia,cap,115,80,80,80,,,,108,,,,,,,69,100,,10
FFyL,cubiculos,num,31,31,31,31,,8,,29,,25,13,,,,,,,
FFyL,cubiculos,cap,150,42,42,42,,24,,29,,308,26,,,,,,,
FFyL,cafeterias,num,,1,1,1,,1,,1,,,,,,,,,,
FFyL,cafeterias,cap,,96,96,96,,76,,136,,,,,,,,,,
FFyL,oficinas administrativas,num,,,,,,19,,19,,,,,,,,,,
FFyL,oficinas administrativas,cap,,,,,,77,,77,,,,,,,,,,
FI,Salones de clase,num,56,56,56,86,,97,,,,114,122,106,106,129,108,114,133,
FI,Salones de clase,cap,4369,5370,5370,7330,,7100,,,,7686,8125,7565,7565,7565,9061,6961,6910,
FI,bibliotecas,num,1,1,1,3,,2,,,,2,3,,,,2,2,3,
FI,bibliotecas,cap,126,125,125,165,,140,,,,260,620,,,,656,800,705,
FI,auditorios,num,1,1,1,2,,1,,1,,2,3,,,,,,,
FI,auditorios,cap,402,408,408,512,,417,,417,,718,840,,,,,,,
FI,laboratorios,num,4,1,1,13,,4,,,,29,27,25,25,25,26,33,40,
FI,laboratorios,cap,134,300,300,360,,56,,,,910,932,,,,1307,1387,770,
FI,talleres de docencia,num,3,3,3,8,,8,,,,,8,8,8,8,9,1,2,
FI,talleres de docencia,cap,150,90,90,90,,130,,,,,155,,,,205,20,80,
FI,cubiculos,num,12,12,12,54,,13,,,,43,100,,,,,,,
FI,cubiculos,cap,12,12,12,88,,28,,,,61,180,,,,,,,
FI,cafeterias,num,,1,1,1,,2,,2,,,,,,,,,,
FI,cafeterias,cap,,60,60,60,,96,,96,,,,,,,,,,
FI,oficinas administrativas,num,,,,,,36,,36,,,,,,,,,,
FI,oficinas administrativas,cap,,,,,,171,,171,,,,,,,,,,
FM,Salones de clase,num,25,39,39,39,,42,,49,,53,57,57,57,57,52,52,39,
FM,Salones de clase,cap,2956,2600,2600,2600,,3730,,3944,,4200,6270,6270,6270,6270,4160,3583,1607,
FM,bibliotecas,num,4,4,4,4,,5,,7,,7,2,,,,3,2,4,
FM,bibliotecas,cap,355,300,300,300,,180,,244,,244,160,,,,438,422,615,
FM,auditorios,num,3,3,3,3,,3,,,,3,3,,,,,,,
FM,auditorios,cap,1324,1324,1324,1324,,1350,,,,1381,400,,,,,,,
FM,laboratorios,num,89,89,89,89,,97,,95,,97,74,74,74,74,51,30,30,
FM,laboratorios,cap,6000,2000,2000,2000,,1160,,1560,,1660,115,,,,1865,2075,1245,
FM,talleres de docencia,num,,3,3,3,,,,3,,,,,,,,,3,
FM,talleres de docencia,cap,,15,15,15,,,,5,,,,,,,,,165,
FM,cubiculos,num,18,18,18,18,,12,,23,,23,28,,,,,,,
FM,cubiculos,cap,190,13,18,18,,28,,72,,42,100,,,,,,,
FM,cafeterias,num,,1,1,1,,2,,,,,,,,,,,,
FM,cafeterias,cap,,256,256,256,,160,,,,,,,,,,,,
FM,oficinas administrativas,num,,,,,,48,,,,,,,,,,,,
FM,oficinas administrativas,cap,,,,,,154,,,,,,,,,,,,
FMVyZ,Salones de clase,num,14,15,15,15,,22,,22,,22,24,27,27,27,26,26,27,25
FMVyZ,Salones de clase,cap,916,981,981,981,,1442,,1442,,1442,1821,1821,1821,1821,1691,1738,2236,1339
FMVyZ,bibliotecas,num,1,1,1,1,,1,,2,,2,2,,,,1,1,1,
FMVyZ,bibliotecas,cap,84,90,90,90,,80,,134,,216,138,,,,250,250,250,
FMVyZ,auditorios,num,1,1,1,1,,,,,,3,1,,,,,,,
FMVyZ,auditorios,cap,139,139,139,139,,,,,,387,165,,,,,,,
FMVyZ,laboratorios,num,24,24,24,24,,43,,54,,54,10,43,43,43,34,42,21,44
FMVyZ,laboratorios,cap,500,500,500,500,,467,,609,,609,496,,,,1062,1260,1050,396
FMVyZ,talleres de docencia,num,,,,,,,,8,,,1,,,,,,,
FMVyZ,talleres de docencia,cap,,,,,,,,108,,,,,,,,,,
FMVyZ,cubiculos,num,,2,2,2,,6,,8,,8,6,,,,,,,
FMVyZ,cubiculos,cap,,2,2,2,,12,,13,,8,34,,,,,,,
FMVyZ,cafeterias,num,,,,,,,,,,,,,,,,,,
FMVyZ,cafeterias,cap,,,,,,,,,,,,,,,,,,
FMVyZ,oficinas administrativas,num,,,,,,26,,,,,,,,,,,,
FMVyZ,oficinas administrativas,cap,,,,,,77,,,,,,,,,,,,
FODON,Salones de clase,num,8,8,8,8,,8,,8,,8,8,8,8,12,20,24,26,12
FODON,Salones de clase,cap,691,764,764,674,,600,,674,,674,758,758,758,888,1784,2040,2449,1324
FODON,bibliotecas,num,1,1,1,1,,1,,1,,1,1,,,,1,1,1,1
FODON,bibliotecas,cap,58,64,64,64,,66,,64,,64,70,,,,132,132,38,198
FODON,auditorios,num,,,,,,,,,,,,,,,,,,
FODON,auditorios,cap,,,,,,,,,,,,,,,,,,
FODON,laboratorios,num,24,24,24,24,,25,,25,,25,14,14,14,3,26,12,28,12
FODON,laboratorios,cap,375,900,900,900,,1068,,968,,968,952,,,,1712,840,1632,866
FODON,talleres de docencia,num,3,,,,,,,3,,,,,,11,,,,
FODON,talleres de docencia,cap,3,,,,,,,9,,,,,,,,,,
FODON,cubiculos,num,,6,6,6,,21,,21,,21,12,,,,,,,
FODON,cubiculos,cap,,6,6,6,,38,,38,,38,1803,,,,,,,
FODON,cafeterias,num,,1,1,1,,1,,1,,,,,,,,,,
FODON,cafeterias,cap,,40,40,40,,44,,54,,,,,,,,,,
FODON,oficinas administrativas,num,,,,,,6,,6,,,,,,,,,,
FODON,oficinas administrativas,cap,,,,,,13,,13,,,,,,,,,,
FP,Salones de clase,num,,,,,,,,,,,,18,18,28,24,26,29,31
FP,Salones de clase,cap,,,,,,,,,,,,1008,1008,1568,1200,1332,1550,1360
FP,bibliotecas,num,,,,,,,,,,,,,,,2,1,2,2
FP,bibliotecas,cap,,,,,,,,,,,,,,,158,400,120,175
FP,auditorios,num,,,,,,,,,,,,,,,,,,
FP,auditorios,cap,,,,,,,,,,,,,,,,,,
FP,laboratorios,num,,,,,,,,,,,,13,13,13,14,16,16,10
FP,laboratorios,cap,,,,,,,,,,,,,,,240,320,320,200
FP,talleres de docencia,num,,,,,,,,,,,,,,,,,,
FP,talleres de docencia,cap,,,,,,,,,,,,,,,,,,
FP,cubiculos,num,,,,,,,,,,,,,,,,,,
FP,cubiculos,cap,,,,,,,,,,,,,,,,,,
FP,cafeterias,num,,,,,,,,,,,,,,,,,,
FP,cafeterias,cap,,,,,,,,,,,,,,,,,,
FP,oficinas administrativas,num,,,,,,,,,,,,,,,,,,
FP,oficinas administrativas,cap,,,,,,,,,,,,,,,,,,
FQ,Salones de clase,num,27,27,27,27,,28,,30,,30,62,56,56,56,55,55,53,46
FQ,Salones de clase,cap,2225,2225,2225,2225,,2700,,2768,,2768,4720,4280,4280,4280,5008,4910,4863,3901
FQ,bibliotecas,num,1,1,1,1,,1,,1,,1,2,,,,2,1,2,
FQ,bibliotecas,cap,160,160,160,160,,108,,60,,60,120,,,,600,400,500,
FQ,auditorios,num,2,2,2,2,,1,,2,,2,2,,,,,,,2
FQ,auditorios,cap,518,518,518,518,,300,,505,,505,510,,,,,,,536
FQ,laboratorios,num,40,44,44,44,,34,,43,,43,55,47,47,47,53,57,85,
FQ,laboratorios,cap,2676,3450,3450,3450,,1569,,3852,,3852,2750,,,,2574,3740,3394,
FQ,talleres de docencia,num,1,,,,,,,,,2,2,,,,,,,
FQ,talleres de docencia,cap,40,,,,,,,,,80,80,,,,,,,
FQ,cubiculos,num,4,,,,,8,,10,,10,40,,,,,,,
FQ,cubiculos,cap,4,,,,,12,,10,,10,120,,,,,,,
FQ,cafeterias,num,,1,1,1,,1,,1,,,,,,,,,,
FQ,cafeterias,cap,,96,96,96,,74,,94,,,,,,,,,,
FQ,oficinas administrativas,num,,,,,,19,,22,,,,,,,,,,
FQ,oficinas administrativas,cap,,,,,,76,,82,,,,,,,,,,
ENP,Salones de clase,num,267,341,497,594,,419,,532,,,554,554,580,577,572,485,491,
ENP,Salones de clase,cap,15911,19347,28108,33425,,23567,,28581,,,30278,32618,31658,31658,31330,26654,27896,
ENP,bibliotecas,num,7,7,10,11,,11,,,,,9,,,,10,10,8,
ENP,bibliotecas,cap,970,1002,1382,1631,,568,,,,,2352,,,,1462,1391,1332,
ENP,auditorios,num,8,10,13,16,,8,,16,,,11,,,,,,,
ENP,auditorios,cap,1279,2229,4038,5631,,1126,,5715,,,6503,,,,,,,
ENP,laboratorios,num,31,39,63,80,,11,,85,,,67,71,67,67,81,95,120,
ENP,laboratorios,cap,1522,1786,2650,3780,,4146,,3609,,,3623,,,,4169,4492,6116,
ENP,talleres de docencia,num,37,46,35,4,,,,2,,,14,18,14,14,20,29,10,
ENP,talleres de docencia,cap,1165,214,1331,150,,,,50,,,380,,,,250,1043,209,
ENP,cubiculos,num,31,4,115,83,,,,136,,,66,,,,,,,
ENP,cubiculos,cap,182,186,352,257,,,,352,,,282,,,,,,,
ENP,cafeterias,num,,,7,6,,,,9,,,,,,,,,,
ENP,cafeterias,cap,,,354,323,,,,827,,,,,,,,,,
ENP,oficinas administrativas,num,,,,,,,,101,,,,,,,,,,
ENP,oficinas administrativas,cap,,,,,,,,564,,,,,,,,,,
CCH,Salones de clase,num,,,,,,,,,,,348,469,426,426,398,404,390,
CCH,Salones de clase,cap,,,,,,,,,,,17400,20290,18392,21300,20490,20804,21882,
