"","colus","infdim1","infdim2","infdim3","infdim4","infdist","infdim"
"21","cap_cubiculos",-0.0134642627110532,-0.0122356553228888,-0.00718763922629709,-0.0148541947469623,0.111787606164222,4.77417520072014
"22","cap_laboratorios",-0.0328172581689457,-0.0498285064442085,-0.0162088310307519,-0.0181372614456744,0.115626806483065,11.699185708958
"23","cap_oficinas_administrativas",0.000547409812856559,0.000476510518557183,0.000434529743193829,1.85259427736284e-05,-0.00304773377523349,0.14769760173812
"24","cap_talleres_de_docencia",-0.00576477484881049,-0.0512378651411236,-0.029045290806791,-0.0278650515843123,0.00723837287225759,11.3912982381037
"25","docen_ayu_f",-5.99454712646441e-07,9.5728637505843e-07,-1.98528959816091e-06,-1.40115471808644e-05,-0.000333400983522303,0.00156390051166133
"26","docen_ayut",-0.000265966685242702,-0.00229836900520819,-0.00218035115007248,-0.00474947504777415,0.0367342011075191,0.949416188829752
"27","docen_cat_f",-1.43863805479594e-07,6.35432177764628e-07,-2.66810701210485e-06,-6.5450169076664e-06,-0.00024447116499271,0.000872155554748621
"28","docen_catt",0.00295243734516953,-0.00175175893413326,-0.00130869112866758,0.000614325361894513,0.0198139918514451,0.0506312644263207
"29","docen_eme_f",0,0,0,0,0,0
"30","docen_emet",-9.2619801184135e-07,-6.3688817475982e-06,-2.87813092895439e-05,-3.08650759718032e-05,0.000102720996443484,0.00669414650207867
"31","docen_mt_f",-2.96656949838603e-07,-1.88494096303726e-06,-2.74170769309912e-06,-1.31257630583415e-05,-0.000237814032424399,0.00180490686643164
"32","docen_mtt",3.64864583751179e-05,7.87984891792437e-05,3.04102319187427e-06,-0.000206104974797339,6.89688595914006e-05,0.00877790040511028
"33","docen_tc_f",-1.51822963390114e-06,1.71139982851898e-07,-5.93295537990035e-06,-3.24611934449104e-06,-9.47978468479604e-06,0.00105261643754406
"34","docen_tct",-0.000125674713060964,-0.00015114728002158,-0.000485267879924617,-0.000619815571230309,0.00796723797797139,0.138190544423747
"35","docen_tect",-5.00718188842786e-05,1.52228942362775e-06,-1.75860811276185e-05,-7.60507466918137e-06,-4.85721328891131e-05,0.00737406852574507
"36","docen_total_f",5.53271228942442e-07,1.11310104500273e-06,-9.33184043733215e-07,-6.37178221507551e-06,-0.000222181079539308,0.000563859398486355
"37","docen_totalf",0.00462351835518043,8.38161648299973e-05,-0.000927293136783747,-0.00112164102772097,0.0315136410299357,0.265840035550571
"38","fem",-5.84311945206473e-06,3.37619790802268e-06,-7.86529773305622e-06,-1.59995583497441e-05,-0.000848355362817799,0.00263317776268424
