year,dep,eme_h,eme_m,tc_tit_t_h,tc_tit_t_m,tc_tit_a_h,tc_tit_a_m,tc_tit_b_h,tc_tit_b_m,tc_tit_c_h,tc_tit_c_m,mt_tit_a_h,mt_tit_a_m,mt_tit_b_h,mt_tit_b_m,mt_tit_c_h,mt_tit_c_m,tc_ass_a_h,tc_ass_a_m,tc_ass_b_h,tc_ass_b_m,tc_ass_c_h,tc_ass_c_m,mt_ass_a_h,mt_ass_a_m,mt_ass_b_h,mt_ass_b_m,mt_ass_c_h,mt_ass_c_m,cat_a_h,cat_a_m,cat_b_h,cat_b_m,cat_c_h,cat_c_m,ayu_a_h,ayu_a_m,ayu_b_h,ayu_b_m,ayu_c_h,ayu_c_m,ordcarr_h,ordcarr_m,teoprac_h,teoprac_m,instruc_h,instruc_m,conferenc_s,aycat_h,aycat_m,pasoc_h,pasoc_m,preplab_h,preplab_m,coord_h,coord_m,aylab_h,aylab_m,otros_h,otros_m,total_h,total_m
1965,ENCPyS,,,,,9,,,,,,1,,,1,,,,,,,,,,,,,,,58,12,7,2,25,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,ENCQ,,,,,4,,,,,,2,,,,,,,,,,,,,,,,,,122,11,3,,83,73,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,ENCA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,10,31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,FD,2,,,,4,1,,,,,11,,2,,,,,,,,,,,,,,,,152,13,87,3,34,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,ENE,1,,,,2,,,,,,5,1,,,,,,,,,,,,,,,,,75,9,,,37,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,ENEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,17,16,6,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,FFyL,1,,,,,,,,,,5,,4,1,,,,,,,,,,,,,,,140,50,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,FI,,,,,9,6,,,,,29,,,,,,,,,,,,,,,,,,291,2,38,1,112,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,FM,1,,,,16,,,,,,10,,14,,,,,,,,,,,,,,,,392,16,285,16,198,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,ENMZ,,,,,9,1,5,,3,,3,,,,,,,,,,,,,,,,,,40,4,8,1,32,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,ENM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,23,6,4,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,ENO,,,,,6,,,,,,1,,,,,,,,,,,,,,,,,,92,5,56,5,42,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,ENP,,,,,18,16,,,,,9,3,,,,,,,,,,,,,,,,,1033,435,351,191,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,ENA,2,,,,,,,,,,20,,6,,,,,,,,,,,,,,,,145,6,211,15,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,ENAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,13,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,FC,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,91,16,30,10,65,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,ENCPyS,,,,,7,,2,,,,1,,,,,,,,,,,,,,,,,,50,7,11,5,27,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,ENCA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,6,138,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,FD,2,,,,4,1,,,,,16,,1,,,,,,,,,,,,,,,,125,6,92,13,34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,ENE,2,,,,2,,,,,,8,,,,,,,,,,,,,,,,,,84,5,23,1,28,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,ENEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,20,12,12,9,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,FFyL,3,,,,14,8,3,,,,5,1,3,1,,,,,,,,,,,,,,,115,40,37,29,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,FI,,,,,7,,,,,,27,,,,,,,,,,,,,,,,,,241,2,83,,128,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,FM,2,,,,20,,3,,3,,11,,13,,,,,,,,,,,,,,,,340,11,355,17,548,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
