colus,infdist,infdistw,infudist,infwdist,infvar,infdisp,infdiswp,infudisp,infwdisp,infvarp
inv_tec,0.005531791374309369,0.007290943121986582,0.00929484005608261,0.01129684556576338,0.11504847329617007,0.2801522969860505,1.6114322649776216,0.3136024007728159,1.7199605887418503,0.13521532444994355
inv_total,0.005856642650470034,0.007353059043390231,0.00957879890218205,0.01133886049658972,0.21369941992441,0.2966040799686692,1.6251610238286962,0.32318300413125545,1.7263574209141006,0.2511587991737892
inv_tc_f,0.005016108226695959,0.007176549584252401,0.008827996813802308,0.011221004767910547,0.0059959502653157415,0.25403601592168545,1.5861491932918879,0.29785138615822226,1.7084137208514956,0.007046980609845107
inv_ay_f,0.005065167722085873,0.007188355802219049,0.008856995152695113,0.01122733814685295,0.01786464772816032,0.25652058726439575,1.5887585841814484,0.2988297729449057,1.709377986682261,0.02099614249142373
inv_eme_f,0.00502399704640899,0.007178525498057364,0.008836573195125208,0.011222446276816012,0,0.25443553767035054,1.5865859065133272,0.2981407481866785,1.7086331926050293,0
inv_mt_f,0.004977071161794466,0.0071660549681427654,0.008767582985393929,0.011208390839907656,0.007796690091851133,0.25205902100995814,1.5838296904889348,0.29581305935384156,1.706493232613615,0.009163372187403082
inv_tec_f,0.005053273729137775,0.007185660315086606,0.008833047200398791,0.01122345982991535,0.01618810376353963,0.25591822733805786,1.588162832045905,0.29802178321206413,1.7087875074865873,0.01902571707302465
inv_total_f,0.005025794717133936,0.0071788370781847854,0.008837722316719976,0.011222767829261682,0.0059998780653387485,0.25452657898929054,1.5866547714409576,0.29817951886898447,1.7086821494160742,0.007051596914079916
n,0.007056152394971482,0.010625617932126352,0.0569007970601878,0.019591688855518208,0.6992873377297713,0.3573521066820204,2.3484566104374984,1.9197992064730898,2.982862118652605,0.8218654411124285
fem,0.005586147788751328,0.007324744006708683,0.009522872204162258,0.011359089111104392,0.042505920786993556,0.282905125741047,1.6189028809616814,0.3212960704497204,1.7294372558580722,0.049956785219228673
pert,0.00496815672941886,0.0071706278379440325,0.008675291259885753,0.01120763523962054,0.01918418892702789,0.2516075580864012,1.58484037865616,0.2926991911736259,1.7063781914096685,0.02254698611601171
perm,0.0049746795154110846,0.007172573659158743,0.008680167783890802,0.011209246634627523,0.02017465852330247,0.2519378983604319,1.5852704408627634,0.2928637222065627,1.7066235285605373,0.023711075164575643
pern,0.005109209366986667,0.007207595002884648,0.008804461496103144,0.011239347215945328,0.027149994700366165,0.2587510343559659,1.5930108006898223,0.29705731847240135,1.711206384302298,0.03190911827898605
num_Salones_de_clase,0.005354926028539486,0.0073240944893415705,0.00895666942232154,0.011364365163366696,0.037983718093499874,0.27119512027385917,1.618759325700789,0.3021927237930668,1.7302405422181875,0.044641885447764144
