general,year,n,fem,pert,perm,pern
escuela nacional de musica,1963,524,0.549618320610687,0.45610687022900764,0.59375,0.42857142857142855
escuela nacional de musica,1964,547,0.6087751371115173,0.45886654478976235,0.5525525525525525,0.42857142857142855
escuela nacional de musica,1965,550,0.5818181818181818,0.4672727272727273,0.546875,0.42857142857142855
escuela nacional de musica,1966,570,0.5228070175438596,0.5,0.6308724832214765,0.42857142857142855
escuela nacional de musica,1967,522,0.4885057471264368,0.5210727969348659,0.6745098039215687,0.5
escuela nacional de musica,1968,609,0.5073891625615764,0.4400656814449918,0.56957928802589,0.42857142857142855
escuela nacional de musica,1969,729,0.51440329218107,0.48148148148148145,0.6586666666666666,0.5
escuela nacional de musica,1970,1335,0.4217228464419476,0.501123595505618,0.3836589698046181,0.42857142857142855
escuela nacional de musica,1971,2254,0.43611357586512867,0.419698314108252,0.40996948118006105,0.35714285714285715
escuela nacional de musica,1972,2497,0.38446135362434924,0.3648378053664397,0.3697916666666667,0.38461538461538464
escuela nacional de musica,1973,1520,0.45,0.3355263157894737,0.31871345029239767,0.35714285714285715
escuela nacional de musica,1974,1576,0.399746192893401,0.2880710659898477,0.2873015873015873,0.42857142857142855
escuela nacional de musica,1975,1491,0.4520456069751844,0.24480214621059693,0.29376854599406527,0.4
escuela nacional de musica,1976,1367,0.43306510607168985,0.23043160204828092,0.2652027027027027,0.3888888888888889
escuela nacional de musica,1977,1409,0.4237047551454933,0.18310858765081617,0.21105527638190955,0.5555555555555556
escuela nacional de musica,1978,1743,0.4125071715433161,0.1962134251290878,0.21835883171070933,0.4375
escuela nacional de musica,1979,1934,0.42295760082730094,0.18510858324715615,0.2114914425427873,0.4117647058823529
escuela nacional de musica,1980,2143,0.4713019132057863,0.25571628558096127,0.2702970297029703,0.5333333333333333
facultad de arquitectura,1960,6556,0.056741915802318486,0.5,0.5,0.5
facultad de arquitectura,1961,7500,0.06,0.5,0.5,0.5
facultad de arquitectura,1962,7830,0.05261813537675607,0.5,0.5,0.5
facultad de arquitectura,1963,8076,0.06067360079247152,0.5,0.5,0.5
facultad de arquitectura,1964,7508,0.06632924880127863,0.5,0.5,0.5
facultad de arquitectura,1965,6568,0.06912302070645554,0.5,0.5,0.5
facultad de arquitectura,1966,6536,0.06272949816401469,0.5,0.5,0.5
facultad de arquitectura,1967,6688,0.06848086124401914,0.5,0.5,0.5
facultad de arquitectura,1968,7146,0.07836551917156451,0.5,0.5,0.5
facultad de arquitectura,1969,6585,0.07987851176917236,0.49992406985573273,0.5,0.3333333333333333
facultad de arquitectura,1970,7836,0.09086268504338949,0.5,0.5,0.2857142857142857
facultad de arquitectura,1971,8760,0.09954337899543379,0.5,0.5,0.5
facultad de arquitectura,1972,9310,0.11965628356605801,0.5,0.5,0.5
facultad de arquitectura,1973,7641,0.14356759586441564,0.4995419447716268,0.4995442114858706,0.4
facultad de arquitectura,1974,9979,0.15111734642749775,0.5777131977152019,0.5013262599469496,0.3333333333333333
facultad de arquitectura,1975,9614,0.14998959850218432,0.5268358643644685,0.5,0.2222222222222222
facultad de arquitectura,1976,12808,0.14225484072454717,0.5,0.5,0.2222222222222222
facultad de arquitectura,1977,15024,0.1554845580404686,0.5,0.5,0.625
facultad de arquitectura,1978,15134,0.1606316902339104,0.49848024316109424,0.49897161661867545,0.4
facultad de arquitectura,1979,15067,0.1754164730868786,0.49976770425433065,0.5001891789632993,0.42857142857142855
facultad de arquitectura,1980,4273,0.17224432483032998,1,1,1
facultad de ciencias,1960,2089,0.3135471517472475,0.5390138822403063,0.5328244274809161,0.6
facultad de ciencias,1961,2462,0.3042242079610073,0.5426482534524777,0.5340453938584779,0.6
facultad de ciencias,1962,2903,0.30864622803995867,0.5397864278332759,0.5535714285714286,0.6
facultad de ciencias,1963,3245,0.32912172573189524,0.5180277349768875,0.5355805243445693,0.6
facultad de ciencias,1964,3624,0.3496136865342163,0.5361479028697572,0.5485398579321231,0.6
facultad de ciencias,1965,4023,0.33681332339050457,0.5170270942083023,0.4870848708487085,0.6
facultad de ciencias,1966,4447,0.32044074657072186,0.5322689453564201,0.5368421052631579,0.6
facultad de ciencias,1967,5039,0.3236753324072237,0.5302639412581861,0.5309625996321276,0.5
facultad de ciencias,1968,5547,0.3144041824409591,0.5188390120786011,0.5034403669724771,0.5
facultad de ciencias,1969,6210,0.31561996779388085,0.5363929146537842,0.551530612244898,0.29411764705882354
facultad de ciencias,1970,6822,0.31955438287892113,0.5117267663441806,0.5041284403669725,0.2777777777777778
facultad de ciencias,1971,7755,0.3841392649903288,0.4724693745970342,0.42967438737831487,0.3333333333333333
facultad de ciencias,1972,8693,0.39641090532612444,0.509490394570344,0.4544399303540337,0.4
facultad de ciencias,1973,10144,0.39599763406940064,0.5042389589905363,0.4607916355489171,0.4
facultad de ciencias,1974,10331,0.3681153808924596,0.5048882005614171,0.5132789902708388,0.375
facultad de ciencias,1975,10528,0.375,0.5045592705167173,0.5055724417426545,0.5454545454545454
facultad de ciencias,1976,11259,0.3855582200905942,0.5281996624922285,0.5401981110343239,0.5454545454545454
facultad de ciencias,1977,12199,0.39839331092712515,0.5125010246741536,0.5174897119341564,0.5833333333333334
facultad de ciencias,1978,12118,0.40452219838257136,0.48357814820927547,0.4869441044471644,0.38461538461538464
facultad de ciencias,1979,5860,0.40733788395904436,0.5042662116040956,0.6384583158776708,1
facultad de ciencias,1980,5374,0.3991440267956829,0.5385187941942687,0.6736596736596736,1
facultad de contaduria y administracion,1960,4436,0.16523895401262398,0.8577547339945897,0.9263301500682128,1
facultad de contaduria y administracion,1961,5531,0.16073042849394323,0.8340263966732959,0.8987626546681665,1
facultad de contaduria y administracion,1962,5713,0.1643619814458253,0.8363381760896201,0.9179978700745474,1
facultad de contaduria y administracion,1963,5965,0.16781223805532272,0.8170997485331098,0.9000999000999002,1
facultad de contaduria y administracion,1964,6051,0.16741034539745497,0.8206907949099322,0.9022704837117473,1
facultad de contaduria y administracion,1965,6467,0.16638317612494202,0.8011442709138704,0.8912639405204461,1
facultad de contaduria y administracion,1966,6383,0.15572614757950806,0.7848973836753877,0.8802816901408451,1
facultad de contaduria y administracion,1967,6542,0.15316416997859983,0.7769795169672883,0.8612774451097804,1
facultad de contaduria y administracion,1968,7051,0.163239256843001,0.7166359381647993,0.8184187662901824,0.6666666666666666
facultad de contaduria y administracion,1969,8390,0.1630512514898689,0.6402860548271752,0.6571637426900585,0.6666666666666666
facultad de contaduria y administracion,1970,10139,0.1583982641286123,0.570569089653812,0.7085927770859277,0.6666666666666666
facultad de contaduria y administracion,1971,11697,0.1890228263657348,0.5415918611609815,0.66078697421981,0.6666666666666666
facultad de contaduria y administracion,1972,13842,0.17902037277850022,0.5088137552376825,0.6113801452784504,0.5
facultad de contaduria y administracion,1973,12711,0.18133899771851153,0.5465344976791755,0.5739696312364425,0.6666666666666666
facultad de contaduria y administracion,1974,12534,0.18461783947662358,0.5832934418382001,0.5008643042350908,0.6666666666666666
facultad de contaduria y administracion,1975,12266,0.2094407304744823,0.5949779879341268,0.506033476060724,0.6666666666666666
facultad de contaduria y administracion,1976,9652,0.22699958557811853,0.6069208454206382,0.5193975353719763,0.6666666666666666
facultad de contaduria y administracion,1977,9566,0.24472088647292495,0.3882500522684508,0.3596753524134985,0.75
facultad de contaduria y administracion,1978,10873,0.2655200956497747,0.6012140163708268,0.5355039833737444,0.6666666666666666
facultad de contaduria y administracion,1979,11632,0.27527510316368636,0.5665405777166438,0.4987507807620237,0.6666666666666666
facultad de contaduria y administracion,1980,12575,0.28556660039761433,0.5635785288270377,0.5115566694514063,1
facultad de derecho,1960,6200,0.105,0.9911290322580645,0.9953917050691244,0.5
facultad de derecho,1961,6303,0.11089957163255593,0.9892114865936855,0.9928469241773963,0.5
facultad de derecho,1962,6715,0.1154132539091586,0.9880863737900223,0.9935483870967742,0.5
facultad de derecho,1963,6446,0.12053986968662736,0.989140552280484,0.990990990990991,0.5
facultad de derecho,1964,6391,0.11782193709904554,0.9918635581286184,0.9933598937583001,0.5
facultad de derecho,1965,6680,0.12679640718562873,0.9895209580838323,0.9952774498229043,0.5
facultad de derecho,1966,6511,0.1257871294731992,0.9923206880663492,1,0.5
facultad de derecho,1967,6812,0.12844979448032884,0.9838520258367587,0.9897142857142858,0.8333333333333334
facultad de derecho,1968,6846,0.13380075956763074,0.9858311422728601,0.9868995633187773,0.8
facultad de derecho,1969,7304,0.13389923329682366,0.9793263964950711,0.9754601226993865,0.7142857142857143
facultad de derecho,1970,7234,0.139341996129389,0.9738733757257395,0.9672619047619048,0.625
facultad de derecho,1971,8208,0.19639376218323587,0.9431042884990254,0.9596774193548387,0.6666666666666666
facultad de derecho,1972,9257,0.15782650966835907,0.9519282704980015,0.9548254620123203,0.6666666666666666
facultad de derecho,1973,9143,0.16865361478726895,0.9339385322104342,0.9461738002594033,0.625
facultad de derecho,1974,10981,0.1755759949002823,0.9348875330115655,0.9387966804979253,0.625
facultad de derecho,1975,10282,0.18770667185372494,0.9478700641898463,0.9455958549222798,0.625
facultad de derecho,1976,10261,0.20875158366630933,0.9645258746710846,0.9645191409897292,0.625
facultad de derecho,1977,9876,0.28908464965573105,0.9805589307411907,0.9852889667250437,0.6666666666666666
facultad de derecho,1978,11691,0.37387734154477803,0.9781883500128303,0.9885609700297415,0.5714285714285714
facultad de derecho,1979,10055,0.2541024365987071,0.9939333664843362,0.9917808219178083,0.3333333333333333
facultad de derecho,1980,9638,0.2610500103755966,1,1,1
facultad de economia,1960,1686,0.15243179122182682,1,1,1
facultad de economia,1961,1918,0.14911366006256518,1,1,1
facultad de economia,1962,2213,0.13782196113872572,1,1,1
facultad de economia,1963,2327,0.1431027073485174,1,1,1
facultad de economia,1964,2441,0.13805817287996722,1,1,1
facultad de economia,1965,2499,0.13085234093637454,1,1,1
facultad de economia,1966,2543,0.11993708218639403,1,1,1
facultad de economia,1967,2724,0.12701908957415564,1,1,1
facultad de economia,1968,2838,0.12825933756166313,1,1,1
facultad de economia,1969,2945,0.1365025466893039,1,1,1
facultad de economia,1970,2916,0.13031550068587106,1,1,1
facultad de economia,1971,3294,0.16484517304189436,1,1,1
facultad de economia,1972,3445,0.16777939042089984,1,1,1
facultad de economia,1973,3771,0.17740652346857597,1,1,1
facultad de economia,1974,4679,0.1876469331053644,0.9903825603761488,0.9840546697038725,0.5
facultad de economia,1975,3969,0.18846056941295036,0.9800957420005039,0.9745989304812834,0.5
facultad de economia,1976,4421,0.2019904998869034,0.9807735806378647,0.9820828667413214,0.5
facultad de economia,1977,5574,0.20631503408683172,0.9847506279153211,0.9834782608695652,0.5
facultad de economia,1978,5935,0.2143218197135636,0.9844987363100253,0.9819182389937107,0.3333333333333333
facultad de economia,1979,5057,0.23393316195372751,0.9689539252521258,0.9653423499577346,0.3333333333333333
facultad de economia,1980,3907,0.21960583567954953,1,1,1
facultad de ingenieria,1960,6468,0.0027829313543599257,0.46876932591218307,0.5555555555555556,0.6363636363636364
facultad de ingenieria,1961,6881,0.0034878651358814126,0.4412149396889987,0.5416666666666666,0.6363636363636364
facultad de ingenieria,1962,7465,0.003348961821835231,0.4186202277294039,0.4,0.5
facultad de ingenieria,1963,10270,0.002044790652385589,0.5705939629990263,0.5238095238095238,0.5
facultad de ingenieria,1964,6887,0.0034848264846812837,0.36982721068680124,0.5416666666666666,0.5
facultad de ingenieria,1965,6887,0.002468418759982576,0.34543342529403226,0.4117647058823529,0.47058823529411764
facultad de ingenieria,1966,6431,0.0032654330586222983,0.347224381900171,0.42857142857142855,0.5
facultad de ingenieria,1967,6415,0.003897116134060795,0.32486360093530786,0.4,0.5
facultad de ingenieria,1968,6892,0.004497968659315148,0.4632907719094602,0.41935483870967744,0.5294117647058824
facultad de ingenieria,1969,8244,0.004366812227074236,0.44492964580300826,0.3888888888888889,0.43478260869565216
facultad de ingenieria,1970,9197,0.007719908665869305,0.4741763618571273,0.39436619718309857,0.4
facultad de ingenieria,1971,11144,0.007358219669777458,0.5036791098348887,0.4146341463414634,0.4166666666666667
facultad de ingenieria,1972,11395,0.010092145677928916,0.5118034225537517,0.391304347826087,0.43478260869565216
facultad de ingenieria,1973,12704,0.012673173803526448,0.5125944584382871,0.45962732919254656,0.4583333333333333
facultad de ingenieria,1974,13416,0.01699463327370304,0.4608676207513417,0.37280701754385964,0.48
facultad de ingenieria,1975,13863,0.017240135612782224,0.4593522325614946,0.41422594142259417,0.5217391304347826
facultad de ingenieria,1976,13118,0.020963561518524167,0.44320780606799814,0.4036363636363636,0.5454545454545454
facultad de ingenieria,1977,13536,0.026669621749408984,0.424645390070922,0.3296398891966759,0.5454545454545454
facultad de ingenieria,1978,15639,0.029925187032418952,0.3309035104546327,0.27136752136752135,0.55
facultad de ingenieria,1979,14318,0.037016343064673836,0.3119150719374214,0.2358490566037736,1
facultad de ingenieria,1980,10821,0.04491266980870529,0.37362535809999076,0.26954732510288065,1
facultad de medicina,1960,7777,0.14684325575414683,0.9885559984569886,0.9973730297723292,0.5384615384615384
facultad de medicina,1961,8406,0.15940994527718297,0.9620509160123721,0.9768656716417911,0.40625
facultad de medicina,1962,8540,0.16252927400468384,0.9587822014051522,0.9632564841498559,0.34146341463414637
facultad de medicina,1963,8491,0.1652337769402897,0.9533623837003886,0.9672131147540983,0.3333333333333333
facultad de medicina,1964,8348,0.16650694777192143,0.9480114997604216,0.9741007194244604,0.36363636363636365
facultad de medicina,1965,8243,0.17639209025840108,0.9634841683852966,0.9766162310866575,0.2972972972972973
facultad de medicina,1966,8120,0.17389162561576355,0.9609605911330049,0.9801699716713881,0.4857142857142857
facultad de medicina,1967,8664,0.17659279778393353,0.8941597414589104,0.9392156862745098,0.6
facultad de medicina,1968,9133,0.18296288185700207,0.8699222599364941,0.9269898264512269,0.7872340425531915
facultad de medicina,1969,11713,0.19200887902330743,0.888158456415948,0.930635838150289,0.6909090909090909
facultad de medicina,1970,12311,0.206319551620502,0.8831126634716919,0.9346456692913386,0.5555555555555556
facultad de medicina,1971,16169,0.1903024305770301,0.8947368421052632,0.9301267468313292,0.6851851851851852
facultad de medicina,1972,20837,0.21965734030810577,0.9183663675193166,0.9482193576578545,0.9459459459459459
facultad de medicina,1973,21333,0.22664416631509868,0.9030609853278957,0.9394002068252327,0.8717948717948718
facultad de medicina,1974,24352,0.22577201051248358,0.9025131406044679,0.9376136777009821,0.9
facultad de medicina,1975,24048,0.2647621423819029,0.897413506320692,0.8988534631694676,0.8536585365853658
facultad de medicina,1976,26133,0.24738835954540236,0.8557762216354801,0.9036349574632637,0.7608695652173914
facultad de medicina,1977,23994,0.2593148287071768,0.8665499708260398,0.865316618450659,0.6346153846153846
facultad de medicina,1978,18938,0.30430879712746856,0.9995247650227057,0.9996529585285442,0.5
facultad de medicina,1979,16194,0.22736816104730148,0.99610967024824,0.9913090711569799,0.7777777777777778
facultad de medicina,1980,16840,0.34061757719714963,1,1,1
facultad de psicologia,1960,680,0.6955882352941176,0.9161764705882353,0.9112050739957717,0.5
facultad de psicologia,1961,989,0.7087967644084934,0.9039433771486349,0.9101283880171184,0.5
facultad de psicologia,1962,1088,0.7215073529411765,0.9227941176470589,0.9235668789808917,0.5
facultad de psicologia,1963,1223,0.7154538021259199,0.8863450531479967,0.8742857142857143,0.5
facultad de psicologia,1964,1167,0.6855184233076264,0.9091688089117395,0.88875,0.5
facultad de psicologia,1965,1224,0.6740196078431373,0.9174836601307189,0.8945454545454545,0.3333333333333333
facultad de psicologia,1966,1165,0.6377682403433477,0.9424892703862661,0.9232839838492598,0.3333333333333333
facultad de psicologia,1967,1358,0.6516936671575847,0.8166421207658321,0.8022598870056498,0.3333333333333333
facultad de psicologia,1968,1434,0.6548117154811716,0.8856345885634589,0.8839190628328009,0.3333333333333333
facultad de psicologia,1969,1674,0.6630824372759857,0.9032258064516129,0.9054054054054054,0.25
facultad de psicologia,1970,1875,0.656,0.9093333333333333,0.9089430894308943,0.25
facultad de psicologia,1971,2338,0.7360992301112061,0.9426860564585116,0.9511911679256246,0.3333333333333333
facultad de psicologia,1972,2414,0.6304888152444076,0.9461474730737366,0.9448094612352168,0.3333333333333333
facultad de psicologia,1973,2575,0.6062135922330097,0.9071844660194175,0.8968609865470852,0.5454545454545454
facultad de psicologia,1974,3871,0.6019116507362439,0.94678377680186,0.9407725321888412,0.6666666666666666
facultad de psicologia,1975,3259,0.6047867444001227,0.9030377416385394,0.8985286656519533,0.6
facultad de psicologia,1976,4060,0.6182266009852216,0.9793103448275862,0.9804780876494024,0.6666666666666666
facultad de psicologia,1977,5314,0.6505457282649605,0.9463680843056078,0.9389644200173561,0.5
facultad de psicologia,1978,4921,0.6498679130258077,0.9449298922983134,0.9618511569731082,0.5
facultad de psicologia,1979,4094,0.6914997557401075,1,1,1
facultad de psicologia,1980,3451,0.6925528832222544,1,1,1
facultad de quimica,1960,2392,0.32065217391304346,0.5710702341137124,0.5488917861799217,1
facultad de quimica,1961,2668,0.2799850074962519,0.6285607196401799,0.4966532797858099,1
facultad de quimica,1962,2620,0.25419847328244277,0.6694656488549618,0.4894894894894895,1
facultad de quimica,1963,2572,0.2406687402799378,0.7048989113530326,0.4878836833602585,1
facultad de quimica,1964,2504,0.22004792332268372,0.731629392971246,0.484573502722323,1
facultad de quimica,1965,2683,0.21953037644427878,0.711516958628401,0.47368421052631576,1
facultad de quimica,1966,2620,0.216793893129771,0.6790076335877863,0.5,0.8
facultad de quimica,1967,2883,0.21609434616718695,0.6982310093652445,0.5040128410914928,0.7142857142857143
facultad de quimica,1968,3406,0.23810921902524956,0.6785085143863769,0.48581997533908755,0.625
facultad de quimica,1969,3862,0.25375453133091663,0.6525116519937856,0.523469387755102,0.4375
facultad de quimica,1970,4448,0.25989208633093525,0.6364658273381295,0.5354671280276817,0.5
facultad de quimica,1971,5457,0.26223199560197913,0.6258017225581821,0.5317959468902865,0.5454545454545454
facultad de quimica,1972,6094,0.2801115851657368,0.5774532326878897,0.44639718804920914,0.5294117647058824
facultad de quimica,1973,6060,0.2942244224422442,0.5146864686468647,0.41615255187885586,0.47368421052631576
facultad de quimica,1974,6887,0.29882387106142005,0.4614491070132133,0.359086491739553,0.45
facultad de quimica,1975,6450,0.297984496124031,0.4254263565891473,0.38553590010405825,0.47619047619047616
