dep,year,emerito,tc,mt,a,b,ayu,contrato,catedra,tecnico,totdocen
EN Trabajo Social,1975,,,2,17,6,16,,,,41
EN Trabajo Social,1976,,,2,27,8,10,,,,47
EN Trabajo Social,1977,,,4,37,8,6,,,,55
EN Trabajo Social,1978,,,4,31,7,6,,,,48
EN Trabajo Social,1979,,,4,35,5,6,,,,50
EN Trabajo Social,1980,,,,,,,,,,
EN Trabajo Social,1981,,,,,,,,,,
EN Trabajo Social,1982,,,,,,,,,,
EN Trabajo Social,1983,,,,,,,,,,
EN Trabajo Social,1984,,,,,,,,,,
EN Trabajo Social,1985,,,,,,,,,,
EN Trabajo Social,1986,,,,,,,,,,
EN Trabajo Social,1987,,,,,,,,,,
EN Trabajo Social,1988,,,,,,,,,,
EN Trabajo Social,1989,,,,,,,,,,
EN Trabajo Social,1990,,,,,,,,,,
EN Trabajo Social,1991,,,,,,,,,,
EN Trabajo Social,1992,,,,,,,,,,
EN Trabajo Social,1993,,,,,,,,,,
EN Trabajo Social,1994,,,,,,,,,,
EN Trabajo Social,1995,,,,,,,,,,
EN Trabajo Social,1996,,,,,,,,,,
EN Trabajo Social,1997,,,,,,,,,,
Centro de estudios filosóficos,1959,,,,,,,,,,
IH,1959,,,,,,,,,,
IM,1959,,,,,,,,,,
IF,1959,,,,,,,,,,
IDComparado,1959,,,,,,,,,,
IQ,1959,,,,,,,,,,
Igeología,1959,,,,,,,,,,
Igeofísica,1959,,,,,,,,,,
Igeografía,1959,,,,,,,,,,
IB,1959,,,,,,,,,,
IMB,1959,,,,,,,,,,
IIS,1959,,,,,,,,,,
IIE,1959,,,,,,,,,,
Observatorio Astronómico Nacional,1959,,,,,,,,,,
BN,1959,,,,,,,,,,
HN,1959,,,,,,,,,,
Depto E Física,1959,,,,,,,,,,
