dep,year,emerito,tc,mt,a,b,ayu,contrato,catedra,tecnico,totdocen
Facultad de Ciencias,1972,,21,8,125,23,257,2,,,436
Facultad de Ciencias,1973,,24,17,118,26,290,2,,,477
Facultad de Ciencias,1974,,35,15,145,,339,2,,,536
Facultad de Ciencias,1975,,30,12,173,50,432,2,,2,701
Facultad de Ciencias,1976,,26,9,163,62,485,2,,2,749
Facultad de Ciencias,1977,,39,8,175,62,476,3,,12,775
Facultad de Ciencias,1978,,46,10,208,59,495,2,,,820
Facultad de Ciencias,1979,,97,7,243,37,556,1,,29,970
Facultad de Ciencias,1980,,,,,,,,,,
Facultad de Ciencias,1981,,,,,,,,,,
Facultad de Ciencias,1982,,,,,,,,,,
Facultad de Ciencias,1983,,,,,,,,,,
Facultad de Ciencias,1984,,,,,,,,,,
Facultad de Ciencias,1985,,,,,,,,,,
Facultad de Ciencias,1986,,,,,,,,,,
Facultad de Ciencias,1987,,,,,,,,,,
Facultad de Ciencias,1988,,,,,,,,,,
Facultad de Ciencias,1989,,,,,,,,,,
Facultad de Ciencias,1990,,,,,,,,,,
Facultad de Ciencias,1991,,,,,,,,,,
Facultad de Ciencias,1992,,,,,,,,,,
Facultad de Ciencias,1993,,,,,,,,,,
Facultad de Ciencias,1994,,,,,,,,,,
Facultad de Ciencias,1995,,,,,,,,,,
Facultad de Ciencias,1996,,,,,,,,,,
Facultad de Ciencias,1997,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1931,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1932,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1933,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1934,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1935,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1936,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1937,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1938,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1939,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1940,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1941,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1942,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1943,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1944,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1945,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1946,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1947,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1948,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1949,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1950,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1951,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1952,,,,,,,,,,26
Facultad de ciencias Políticas y Sociales,1953,,,,,,,,,,56
Facultad de ciencias Políticas y Sociales,1954,,,,,,,,,,82
Facultad de ciencias Políticas y Sociales,1955,,,,,,,,,,78
Facultad de ciencias Políticas y Sociales,1956,,,,,,,,,,80
Facultad de ciencias Políticas y Sociales,1957,,,,,,,,,,93
Facultad de ciencias Políticas y Sociales,1958,,,,,,,,,,102
Facultad de ciencias Políticas y Sociales,1959,,,,,,,7,69,,76
Facultad de ciencias Políticas y Sociales,1960,,,,,,6,,37,,43
Facultad de ciencias Políticas y Sociales,1961,,,,,,,,,,104
Facultad de ciencias Políticas y Sociales,1962,,,,,,,,,,92
Facultad de ciencias Políticas y Sociales,1963,,6,2,,,,,103,,111
Facultad de ciencias Políticas y Sociales,1964,,6,2,,,,,112,,120
Facultad de ciencias Políticas y Sociales,1965,,9,2,,,,,121,,132
Facultad de ciencias Políticas y Sociales,1966,,9,1,,,,,117,,127
Facultad de ciencias Políticas y Sociales,1967,,7,2,,,,,114,,123
Facultad de ciencias Políticas y Sociales,1968,,9,2,,,,,132,,143
Facultad de ciencias Políticas y Sociales,1969,,8,2,,,,12,145,,167
Facultad de ciencias Políticas y Sociales,1970,,11,3,,,,12,138,,164
Facultad de ciencias Políticas y Sociales,1971,,12,,91,21,65,37,,,226
Facultad de ciencias Políticas y Sociales,1972,,22,3,106,21,75,15,,,242
Facultad de ciencias Políticas y Sociales,1973,,37,23,78,18,74,3,,,233
Facultad de ciencias Políticas y Sociales,1974,,47,20,131,23,119,13,,,353
Facultad de ciencias Políticas y Sociales,1975,,53,16,165,28,190,13,,,465
Facultad de ciencias Políticas y Sociales,1976,,59,13,191,24,219,14,,,520
Facultad de ciencias Políticas y Sociales,1977,,61,17,169,27,241,15,,,530
Facultad de ciencias Políticas y Sociales,1978,,69,12,179,24,210,7,,,501
Facultad de ciencias Políticas y Sociales,1979,,84,11,162,26,173,9,,,494
Facultad de ciencias Políticas y Sociales,1980,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1981,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1982,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1983,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1984,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1985,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1986,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1987,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1988,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1989,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1990,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1991,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1992,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1993,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1994,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1995,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1996,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1997,,,,,,,,,,
FcyA,1931,,,,,,,,,,95
FcyA,1932,,,,,,,,,,99
FcyA,1933,,,,,,,,,,86
FcyA,1934,,,,,,,,,,20
FcyA,1935,,,,,,,,,,57
FcyA,1936,,,,,,,,,,57
FcyA,1937,,,,,,,,,,75
FcyA,1938,,,,,,,,,,103
FcyA,1939,,,,,,,,,,125
FcyA,1940,,,,,,,,,,150
FcyA,1941,,,,,,,,,,148
FcyA,1942,,,,,,,,,,169
FcyA,1943,,,,,,,,,,179
FcyA,1944,,,,,,,,,,187
FcyA,1945,,,,,,,,,,211
FcyA,1946,,,,,,,,,,232
FcyA,1947,,,,,,,,,,262
FcyA,1948,,,,,,,,,,296
FcyA,1949,,,,,,,,,,311
FcyA,1950,,,,,,,,,,309
FcyA,1951,,,,,,,,,,291
FcyA,1952,,,,,,,,,,280
FcyA,1953,,,,,,,,,,274
FcyA,1954,,,,,,,,,,275
FcyA,1955,,,,,,,,,,266
FcyA,1956,,,,,,,,,,300
FcyA,1957,,,,,,,,,,346
FcyA,1958,,,,,,,,,,346
FcyA,1959,,,3,,,,11,215,,229
FcyA,1960,,,3,,,,,310,,313
FcyA,1961,,,,,,,,,,298
FcyA,1962,,,,,,,,,,337
FcyA,1963,1,,,,,,,342,,343
FcyA,1964,1,,,,,,,320,,321
FcyA,1965,1,,,,,,,284,,285
FcyA,1966,1,,,,,,,333,,334
FcyA,1967,,,,,,,,333,,333
FcyA,1968,,,1,,,,,342,,343
FcyA,1969,,4,3,,,,2,523,,532
FcyA,1970,,15,1,,,,,422,,438
FcyA,1971,,24,,350,142,17,12,,,545
FcyA,1972,,13,1,308,118,20,4,,,464
FcyA,1973,,25,4,216,109,10,2,,,366
FcyA,1974,,35,15,379,121,32,7,,15,544
FcyA,1975,,35,20,375,112,10,5,,20,577
FcyA,1976,,34,19,369,106,3,6,,23,560
FcyA,1977,,36,17,316,94,1,1,,32,497
FcyA,1978,,35,16,364,92,,,,33,540
FcyA,1979,,47,22,336,78,1,,,6,490
FcyA,1980,,,,,,,,,,
FcyA,1981,,,,,,,,,,
FcyA,1982,,,,,,,,,,
FcyA,1983,,,,,,,,,,
FcyA,1984,,,,,,,,,,
FcyA,1985,,,,,,,,,,
FcyA,1986,,,,,,,,,,
FcyA,1987,,,,,,,,,,
FcyA,1988,,,,,,,,,,
FcyA,1989,,,,,,,,,,
FcyA,1990,,,,,,,,,,
FcyA,1991,,,,,,,,,,
FcyA,1992,,,,,,,,,,
FcyA,1993,,,,,,,,,,
FcyA,1994,,,,,,,,,,
FcyA,1995,,,,,,,,,,
FcyA,1996,,,,,,,,,,
FcyA,1997,,,,,,,,,,
Fderecho,1931,,,,,,,,,,77
Fderecho,1932,,,,,,,,,,92
Fderecho,1933,,,,,,,,,,97
Fderecho,1934,,,,,,,,,,103
Fderecho,1935,,,,,,,,,,85
Fderecho,1936,,,,,,,,,,120
Fderecho,1937,,,,,,,,,,139
Fderecho,1938,,,,,,,,,,150
Fderecho,1939,,,,,,,,,,175
Fderecho,1940,,,,,,,,,,186
Fderecho,1941,,,,,,,,,,193
Fderecho,1942,,,,,,,,,,222
Fderecho,1943,,,,,,,,,,235
Fderecho,1944,,,,,,,,,,247
Fderecho,1945,,,,,,,,,,241
Fderecho,1946,,,,,,,,,,241
Fderecho,1947,,,,,,,,,,235
Fderecho,1948,,,,,,,,,,214
Fderecho,1949,,,,,,,,,,240
Fderecho,1950,,,,,,,,,,251
Fderecho,1951,,,,,,,,,,285
Fderecho,1952,,,,,,,,,,303
Fderecho,1953,,,,,,,,,,306
Fderecho,1954,,,,,,,,,,303
Fderecho,1955,,,,,,,,,,348
Fderecho,1956,,,,,,,,,,321
Fderecho,1957,,,,,,,,,,316
Fderecho,1958,,,,,,,,,,306
Fderecho,1959,,,,,,20,8,181,,209
Fderecho,1960,2,4,21,,,21,,280,,328
Fderecho,1961,,,,,,,,,,328
Fderecho,1962,,,,,,,,,,258
Fderecho,1963,,,,,,,,,,288
Fderecho,1964,2,5,13,,,,,252,,272
Fderecho,1965,2,8,13,,,3,,289,,315
Fderecho,1966,2,5,17,,,,,273,,298
Fderecho,1967,1,7,18,,,,,281,,307
Fderecho,1968,1,9,29,,,,,276,,315
Fderecho,1969,1,7,24,,,,,267,,299
Fderecho,1970,1,11,25,,,,13,377,,427
Fderecho,1971,1,6,12,92,191,47,28,2,,379
Fderecho,1972,,10,16,225,83,47,4,,,385
Fderecho,1973,,17,38,187,73,48,9,,,372
Fderecho,1974,,19,33,195,62,48,11,,,368
Fderecho,1975,,18,29,187,69,61,15,,2,381
Fderecho,1976,,18,26,182,67,55,13,,2,363
Fderecho,1977,,19,24,158,58,64,8,,2,333
Fderecho,1978,,19,26,181,54,67,7,,2,356
Fderecho,1979,,19,32,197,50,52,5,,,355
Fderecho,1980,,,,,,,,,,
Fderecho,1981,,,,,,,,,,
Fderecho,1982,,,,,,,,,,
Fderecho,1983,,,,,,,,,,
Fderecho,1984,,,,,,,,,,
Fderecho,1985,,,,,,,,,,
Fderecho,1986,,,,,,,,,,
Fderecho,1987,,,,,,,,,,
Fderecho,1988,,,,,,,,,,
Fderecho,1989,,,,,,,,,,
Fderecho,1990,,,,,,,,,,
Fderecho,1991,,,,,,,,,,
Fderecho,1992,,,,,,,,,,
Fderecho,1993,,,,,,,,,,
Fderecho,1994,,,,,,,,,,
Fderecho,1995,,,,,,,,,,
Fderecho,1996,,,,,,,,,,
Fderecho,1997,,,,,,,,,,
Facultad de Economia,1931,,,,,,,,,,
Facultad de Economia,1932,,,,,,,,,,
Facultad de Economia,1933,,,,,,,,,,
Facultad de Economia,1934,,,,,,,,,,13
Facultad de Economia,1935,,,,,,,,,,26
Facultad de Economia,1936,,,,,,,,,,38
Facultad de Economia,1937,,,,,,,,,,40
Facultad de Economia,1938,,,,,,,,,,48
Facultad de Economia,1939,,,,,,,,,,54
Facultad de Economia,1940,,,,,,,,,,55
