general,year,admin_conf,admin_espe,admin_serv,admin_obre,admin_admin,admin_auxadm,admin_prof,admin_total,admin_conf_f,admin_espe_f,admin_serv_f,admin_obre_f,admin_admin_f,admin_auxadm_f,admin_prof_f,admin_total_f,docen_emet,docen_tct,docen_mtt,docen_catt,docen_ayut,docen_tect,docen_totalf,docen_eme_f,docen_tc_f,docen_mt_f,docen_cat_f,docen_ayu_f,docen_total_f,inv_tc,inv_ay,inv_eme,inv_mt,inv_tec,inv_total,inv_tc_f,inv_ay_f,inv_eme_f,inv_mt_f,inv_tec_f,inv_total_f,n,fem,pert,perm,pern,num_Salones_de_clase,cap_Salones_de_clase,num_bibliotecas,cap_bibliotecas,num_auditorios,cap_auditorios,num_laboratorios,cap_laboratorios,num_talleres_de_docencia,cap_talleres_de_docencia,num_cubiculos,cap_cubiculos,num_cafeterias,cap_cafeterias,num_oficinas_administrativas,cap_oficinas_administrativas
facultad de ingenieria,1965,5,51,35,21,44,103,1,224,0,0.2352941176470588,0.02857142857142857,0,0.5227272727272727,0.04854368932038835,1,0.17857142857142858,0,7,27,326,131,0,491,0,0,0,0.00613496932515337,0.01526717557251908,0.00814663951120162,12,1,0,0,1,12,0,0,0,0,0,0,6431,0.00326543305862229,0.347224381900171,0.42857142857142855,0.5,92,7215,2,152,2,464,8,208,8,110,34,58,2,78,36,171
facultad de ingenieria,1966,16,62,35,42,63,131,1,256,0,0.2258064516129032,0.02857142857142857,0,0.5714285714285714,0.03053435114503816,1,0.2109375,2,8,36,350,79,0,475,0,0,0,0.01428571428571428,0,0.01052631578947368,10,1,0,0,1,10,0,0,0,0,0,0,6415,0.00389711613406079,0.32486360093530786,0.4,0.5,97,7100,2,140,1,417,4,56,8,130,13,28,2,96,36,171
facultad de ingenieria,1967,27,86,35,62,86,142,1,403,0,0.1511627906976744,0.02857142857142857,0,0.46511627906976744,0.05633802816901408,1,0.1513647642679901,1,15,67,403,131,0,617,0,0,0,0.02233250620347394,0.03816793893129771,0.02269043760129659,8,1,0,0,1,8,0,0,0,0,0,0,6892,0.00449796865931514,0.4632907719094602,0.41935483870967744,0.5294117647058824,101,7246,2,170,1,417,10,270,8,135,20,36,2,96,36,171
facultad de ingenieria,1968,30,65,35,24,65,147,1,331,0,0.18461538461538465,0.02857142857142857,0,0.3692307692307693,0.04081632653061224,1,0.1268882175226586,0,12,36,499,113,0,660,0,0,0,0.00200400801603206,0.01769911504424778,0.00454545454545454,6,1,0,0,1,6,0,0,0,0,0,0,8244,0.00436681222707423,0.44492964580300826,0.3888888888888889,0.43478260869565216,106,7393,2,200,1,417,16,483,8,140,28,44,2,96,36,171
facultad de ingenieria,1969,21,97,35,73,92,144,1,428,0.09523809523809525,0.18556701030927836,0.02857142857142857,0,0.6195652173913043,0.03472222222222222,1,0.1939252336448598,0,0,36,585,0,0,621,0,0,0,0,0.03826132222800624,0,5,1,0,0,1,5,0,0,0,0,0,0,9197,0.0077199086658693,0.4741763618571273,0.39436619718309857,0.4,110,7540,2,230,2,568,23,696,8,145,36,53,2,96,36,171
facultad de ingenieria,1970,20,62,35,25,66,141,2,316,0.05,0.1129032258064516,0.02857142857142857,0,0.6666666666666666,0.04964539007092199,0.5,0.189873417721519,0,19,38,554,102,0,713,0,0,0,0.00361010830324909,0.0588235294117647,0.01122019635343618,3,1,0,0,1,3,0,0,0,0,0,0,11144,0.00735821966977745,0.5036791098348887,0.4146341463414634,0.4166666666666667,114,7686,2,260,2,718,29,910,8,150,43,61,2,96,36,171
facultad de ingenieria,1971,21,61,35,23,71,140,5,321,0.04761904761904761,0.09836065573770492,0.02857142857142857,0,0.6619718309859155,0.03571428571428571,0.2,0.18691588785046728,0,12,30,624,142,0,808,0,0,0.8333333333333334,0.01121794871794871,0.06338028169014084,0.05074257425742574,1,1,0,0,1,1,0,0,0,0,0,0,11395,0.01009214567792891,0.5118034225537517,0.391304347826087,0.43478260869565216,122,8125,3,620,3,840,27,932,8,155,100,180,2,96,36,171
facultad de ingenieria,1972,26,89,35,24,72,126,5,342,0.07692307692307693,0.07865168539325842,0.02857142857142857,0,0.6666666666666666,0.03174603174603174,0.2,0.18128654970760233,0,26,35,662,174,0,897,0,0,0,0.0120845921450151,0.08620689655172414,0.02564102564102564,2,1,0,0,1,1,0,0,0,0,0,0,12704,0.01267317380352644,0.5125944584382871,0.45962732919254656,0.4583333333333333,106,7565,3,629,3,840,25,1026,8,168,100,180,2,96,36,171
facultad de ingenieria,1973,32,52,35,23,66,144,5,322,0.0625,0.19230769230769232,0.02857142857142857,0,0.6818181818181818,0.06944444444444445,0.2,0.2111801242236025,0,74,36,667,176,2,955,0,0.01351351351351351,0.02777777777777777,0.01799100449775112,0.07386363636363637,0.02827225130890052,3,1,0,0,1,1,0,0,0,0,0,0,13416,0.01699463327370304,0.4608676207513417,0.3728070175438597,0.48,106,7565,2,638,3,840,25,1120,8,180,100,180,2,96,36,171
facultad de ingenieria,1974,40,48,35,22,165,137,7,419,0.05,0.08333333333333333,0.02857142857142857,0,0.37575757575757573,0.06569343065693431,0,0.1837708830548926,0,38,51,693,171,4,957,0,0.05263157894736842,0,0.02453102453102453,0.08771929824561403,0.03552769070010449,4,1,0,0,1,5,0,0,0,0,0,0,13863,0.01724013561278222,0.4593522325614946,0.41422594142259417,0.5217391304347826,129,7565,2,647,3,840,25,1213,8,192,100,180,2,96,36,171
facultad de ingenieria,1975,32,98,35,21,236,36,5,407,0.1875,0.8469387755102041,0.02857142857142857,0,0.6694915254237288,0.6111111111111112,0.2,0.6633906633906634,0,36,33,730,182,3,984,0,0.08333333333333333,0.0303030303030303,0.03150684931506849,0.06043956043956044,0.03861788617886179,3,1,0,0,1,4,0,0,0,0,0,0,13118,0.02096356151852416,0.44320780606799814,0.4036363636363636,0.5454545454545454,108,9061,2,656,3,840,26,1307,9,205,100,180,2,96,36,171
facultad de ingenieria,1976,28,67,35,20,221,162,3,501,0.3928571428571429,0.23880597014925373,0.02857142857142857,0,0.4343891402714932,0.1111111111111111,0,0.281437125748503,0,47,35,785,139,8,1014,0,0.0425531914893617,0,0.02547770700636942,0.10071942446043164,0.03550295857988166,2,1,0,0,1,3,0,0,0,0,0,0,13536,0.02666962174940898,0.424645390070922,0.3296398891966759,0.5454545454545454,114,6961,2,800,3,840,33,1387,1,20,100,180,2,96,36,171
facultad de ingenieria,1977,53,68,35,19,177,151,9,477,0.3584905660377358,0.19117647058823528,0.02857142857142857,0,0.5254237288135594,0.10596026490066224,0,0.29559748427672955,0,49,34,727,126,13,949,0,0.06122448979591836,0.0588235294117647,0.02751031636863823,0.07142857142857142,0.03582718651211802,2,1,0,0,1,4,0,0,0,0,0,0,15639,0.02992518703241895,0.3309035104546327,0.27136752136752135,0.55,133,6910,3,705,3,840,40,770,2,80,100,180,2,96,36,171
facultad de ingenieria,1978,64,109,35,24,236,50,18,477,0.375,0.13761467889908258,0.02857142857142857,0,0.6186440677966102,0.5,0.05555555555555555,0.44234800838574423,0,66,48,677,129,14,934,0,0.06060606060606061,0.02083333333333333,0.02658788774002954,0.04651162790697674,0.0310492505353319,5,1,0,0,1,6,0.2,0,0,0,0,0.16666666666666666,14318,0.03701634306467383,0.3119150719374214,0.2358490566037736,1,133,6910,3,705,3,840,40,770,2,80,100,180,2,96,36,171
facultad de ingenieria,1979,175,127,35,30,141,189,58,720,0.2228571428571429,0.10236220472440943,0.02857142857142857,0,0.75177304964539,0.1904761904761905,0.1724137931034483,0.2833333333333333,0,87,47,967,166,0,1267,0,0.02298850574712643,0.02127659574468085,0.03619441571871768,0.0783132530120482,0.04025256511444357,5,1,0,0,1,1,0.2,0,0,0,0,0,10821,0.04491266980870529,0.3736253580999907,0.26954732510288065,1,133,6910,3,705,3,840,40,770,2,80,100,180,2,96,36,171
facultad de medicina,1959,61,62,158,5,81,165,2,283,0.6557377049180327,0.46774193548387094,0.06329113924050633,0,0.5925925925925926,0.07878787878787878,0,0.2791519434628975,0,20,28,921,63,0,1032,0,0,0,0.02171552660152008,0.04761904761904761,0.02228682170542635,10,9,1,1,1,10,0.3,0.5555555555555556,0,1,0,0.3,7777,0.14684325575414683,0.9885559984569886,0.9973730297723292,0.5384615384615384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
facultad de medicina,1961,4,87,158,5,81,165,2,344,0.25,0.40229885057471265,0.06329113924050633,0,0.5925925925925926,0.07878787878787878,0,0.2819767441860465,0,22,28,1105,104,0,1259,0,0,0,0.02260576027499472,0.09310728182323512,0.03118712645718681,10,9,1,1,1,10,0.3,0.5555555555555556,0,1,0,0.3,8540,0.16252927400468384,0.9587822014051522,0.963256484149856,0.34146341463414637,25,2956,4,355,3,1324,89,6000,3,15,18,190,1,256,48,154
facultad de medicina,1962,6,82,158,5,95,166,5,359,0,0.3902439024390244,0.06329113924050633,0,0.6210526315789474,0.0783132530120482,1,0.30362116991643456,0,23,28,1146,134,0,1331,0,0,0,0.02349599394846936,0.13859551602742265,0.04008743120894727,9,9,1,1,1,9,0.2222222222222222,0.5555555555555556,0,1,0,0.2222222222222222,8491,0.1652337769402897,0.9533623837003886,0.9672131147540984,0.3333333333333333,39,2600,4,300,3,1324,89,2000,3,15,18,13,1,256,48,154
facultad de medicina,1963,9,76,158,5,104,178,4,376,0.1111111111111111,0.42105263157894735,0.06329113924050633,0,0.5961538461538461,0.10674157303370786,1,0.31382978723404253,0,66,26,1170,174,0,1436,0,0,0,0.024386227621944,0.18408375023161017,0.04898773596070773,9,9,1,1,1,9,0.2222222222222222,0.5555555555555556,0,1,0,0.2222222222222222,8348,0.16650694777192143,0.9480114997604216,0.9741007194244604,0.3636363636363637,39,2600,4,300,3,1324,89,2000,3,15,18,18,1,256,48,154
facultad de medicina,1964,10,86,158,5,104,179,7,391,0.1,0.4186046511627907,0.06329113924050633,0,0.5865384615384616,0.10614525139664804,0.14285714285714285,0.30179028132992325,1,24,24,1266,257,0,1572,0,0,0,0.02527646129541864,0.22957198443579763,0.05788804071246819,9,9,1,1,1,9,0.2222222222222222,0.5555555555555556,0,1,0,0.2222222222222222,8243,0.17639209025840108,0.9634841683852966,0.9766162310866576,0.2972972972972973,39,2600,4,300,3,1324,89,2000,3,15,18,18,1,256,48,154
facultad de medicina,1965,12,95,158,3,94,188,22,414,0.08333333333333333,0.42105263157894735,0.06329113924050633,0,0.7021276595744681,0.14361702127659576,0.7272727272727273,0.36231884057971014,2,26,24,1337,614,0,2003,0,0,0,0.02094240837696335,0.10749185667752444,0.04692960559161258,8,9,1,1,1,8,0.25,0.5555555555555556,0,1,0,0.25,8120,0.17389162561576357,0.9609605911330048,0.980169971671388,0.4857142857142857,40,3165,4,240,3,1337,93,1580,3,12,15,23,2,208,48,154
facultad de medicina,1966,6,107,158,11,121,182,18,439,0,0.48598130841121495,0.06329113924050633,0,0.7272727272727273,0.15934065934065933,0.5555555555555556,0.40774487471526194,4,36,24,1602,752,0,2418,0,0.1388888888888889,0,0.02496878901373283,0.125,0.05748552522746071,8,9,1,1,1,8,0.125,0.5555555555555556,0,1,0,0.125,8664,0.17659279778393353,0.8941597414589104,0.9392156862745098,0.6,42,3730,5,180,3,1350,97,1160,3,10,12,28,2,160,48,154
facultad de medicina,1967,1,93,158,5,114,177,20,410,0,0.3870967741935484,0.06329113924050633,0,0.7192982456140351,0.1694915254237288,0.3,0.375609756097561,4,50,30,1793,848,0,2725,0,0.1,0.03333333333333333,0.02230897936419408,0.10849056603773584,0.05064220183486238,7,9,1,1,1,7,0.14285714285714285,0.5555555555555556,0,1,0,0.14285714285714285,9133,0.18296288185700207,0.8699222599364941,0.9269898264512269,0.7872340425531915,46,3837,6,212,3,1358,96,1360,3,8,18,50,2,160,48,154
facultad de medicina,1968,5,102,158,3,120,181,18,429,0,0.4215686274509804,0.06329113924050633,0,0.7,0.143646408839779,0.5,0.3776223776223776,3,29,27,1954,938,0,2951,0,0.06896551724137931,0,0.07267144319344933,0.10980810234541578,0.08370044052863436,7,9,1,1,1,7,0.14285714285714285,0.5555555555555556,0,1,0,0.14285714285714285,11713,0.19200887902330743,0.888158456415948,0.930635838150289,0.6909090909090909,49,3944,7,244,3,1366,95,1560,3,5,23,72,2,160,48,154
facultad de medicina,1969,7,103,158,4,137,188,18,457,0.14285714285714285,0.4077669902912621,0.06329113924050633,0,0.7518248175182481,0.15425531914893617,0.5,0.4026258205689278,0,0,29,2183,0,0,2212,0,0.08656609195402298,0,0,0.12344244919087469,0,7,9,1,1,1,7,0.14285714285714285,0.5555555555555556,0,1,0,0.14285714285714285,12311,0.206319551620502,0.8831126634716919,0.9346456692913386,0.5555555555555556,51,4072,7,244,3,1373,96,1610,3,23,23,57,2,160,48,154
facultad de medicina,1970,4,94,158,4,142,187,14,445,0,0.3723404255319149,0.06329113924050633,0,0.7676056338028169,0.18181818181818185,0.7142857142857143,0.42247191011235963,3,48,26,1245,1211,0,2533,0,0.10416666666666669,0,0.05863453815261044,0.1370767960363336,0.09632846427161468,6,9,1,1,1,6,0,0.5555555555555556,0,1,0,0,16169,0.1903024305770301,0.8947368421052632,0.9301267468313292,0.6851851851851852,53,4200,7,244,3,1381,97,1660,3,41,23,42,2,160,48,154
facultad de medicina,1971,13,113,158,10,144,206,16,502,0.07692307692307693,0.34513274336283184,0.06329113924050633,0,0.6388888888888888,0.19902912621359223,0.5,0.3605577689243028,1,57,14,1358,1345,0,2775,0,0.10526315789473684,0.7142857142857143,0.0662739322533137,0.14646840148698884,0.10918918918918918,6,9,1,1,1,6,0,0.5555555555555556,0,1,0,0,20837,0.21965734030810577,0.9183663675193166,0.9482193576578544,0.945945945945946,57,6270,2,160,3,400,74,115,3,58,28,100,2,160,48,154
facultad de medicina,1972,23,125,158,13,187,201,26,575,0.2608695652173913,0.248,0.06329113924050633,0,0.7005347593582888,0.22388059701492535,0.6923076923076923,0.4017391304347826,2,65,27,1417,1406,0,2917,0,0.2,0,0.07127734650670431,0.15007112375533427,0.11141583818992117,6,9,1,1,1,7,0.3333333333333333,0.5555555555555556,0,1,0,0.42857142857142855,21333,0.22664416631509868,0.9030609853278956,0.9394002068252328,0.8717948717948718,57,6270,2,230,3,400,74,552,3,76,28,100,2,160,48,154
facultad de medicina,1973,57,118,158,14,180,205,12,586,0.3333333333333333,0.2457627118644068,0.06329113924050633,0,0.6444444444444445,0.22439024390243903,0.5,0.36860068259385664,0,64,20,1732,1744,9,3569,0,0.078125,0,0.0825635103926097,0.14105504587155962,0.11039506864667974,1,9,1,1,1,11,0,0.5555555555555556,0,1,0,0.4545454545454546,24352,0.2257720105124836,0.902513140604468,0.937613677700982,0.9,57,6270,2,299,3,400,74,990,3,94,28,100,2,160,48,154
facultad de medicina,1974,43,95,158,13,321,219,10,701,0.3488372093023256,0.2421052631578947,0.06329113924050633,0,0.6043613707165109,0.2146118721461187,0.6,0.4065620542082739,1,57,15,1756,1664,15,3508,0,0.17543859649122806,0,0.08940774487471526,0.14362980769230768,0.11573546180159636,2,5,1,1,1,8,0,0.8,0,1,0,0.5,24048,0.2647621423819029,0.897413506320692,0.8988534631694676,0.8536585365853658,57,6270,3,368,3,400,74,1428,3,112,28,100,2,160,48,154
facultad de medicina,1975,54,130,158,14,349,74,28,635,0.4074074074074074,0.7769230769230769,0.06329113924050633,0,0.45272206303724927,0.17567567567567569,0.42857142857142855,0.4818897637795276,1,56,19,1890,1875,12,3853,0,0.21428571428571427,0.10526315789473684,0.07883597883597884,0.1568,0.11860887620036337,1,5,1,1,1,7,1,0.8,0,1,1,0.8571428571428571,26133,0.24738835954540236,0.8557762216354801,0.9036349574632636,0.7608695652173914,52,4160,3,438,3,400,51,1865,3,129,28,100,2,160,48,154
facultad de medicina,1976,57,91,158,15,323,193,54,733,0.47368421052631576,0.21978021978021975,0.06329113924050633,0,0.6625386996904025,0.24352331606217617,0.2777777777777778,0.4406548431105048,4,106,21,2134,1927,12,4204,0,0.1792452830188679,0,0.09653233364573573,0.1702127659574468,0.13154138915318744,5,7,1,1,2,14,0.8,0.5714285714285714,0,1,0.5,0.6428571428571429,23994,0.2593148287071768,0.8665499708260398,0.865316618450659,0.6346153846153846,52,3583,2,422,3,400,30,2075,3,147,28,100,2,160,48,154
facultad de medicina,1977,67,90,158,14,371,207,41,790,0.4626865671641791,0.2111111111111111,0.06329113924050633,0,0.628032345013477,0.2318840579710145,0.0975609756097561,0.4240506329113924,2,133,30,2306,2015,11,4497,0,0.1879699248120301,0,0.1118820468343452,0.18064516129032257,0.14387369357349344,5,10,1,1,4,19,0.4,0.4,0,1,0.25,0.3684210526315789,18938,0.30430879712746856,0.9995247650227056,0.9996529585285442,0.5,39,1607,4,615,3,400,30,1245,3,165,28,100,2,160,48,154
facultad de medicina,1978,71,164,158,14,404,66,107,812,0.4929577464788733,0.2073170731707317,0.06329113924050633,0,0.4603960396039604,0.19696969696969696,0.27102803738317754,0.3657635467980296,1,80,19,2602,1950,11,4663,0,0.175,0.05263157894736842,0.11952344350499616,0.19897435897435897,0.15312030881406818,7,6,1,1,2,16,0.42857142857142855,0.6666666666666666,0,1,0.5,0.5625,16194,0.22736816104730148,0.99610967024824,0.99130907115698,0.7777777777777778,39,1607,4,615,3,400,30,1245,3,165,28,100,2,160,48,154
facultad de medicina,1979,171,167,158,13,264,245,121,981,0.32748538011695905,0.20958083832335328,0.06329113924050633,0,0.7424242424242424,0.22857142857142856,0.35537190082644626,0.3934760448521916,1,78,14,2981,2111,0,5185,0,0.2307692307692308,0,0.1157329755115733,0.18900994789199432,0.14696239151398263,3,5,1,1,1,9,0,0.8,0,1,1,0.5555555555555556,16840,0.34061757719714963,1,1,1,39,1607,4,615,3,400,30,1245,3,165,28,100,2,160,48,154
facultad de psicologia,1972,2,16,0,9,12,19,1,49,1,0.3125,0,0,0.75,0.15789473684210523,1,0.3877551020408163,0,11,15,20,54,0,100,0,0.09090909090909093,0.06666666666666667,0.35,0.5370370370370371,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2575,0.6062135922330097,0.9071844660194176,0.8968609865470852,0.5454545454545454,18,1008,2,158,0,0,13,240,0,0,0,0,0,0,0,0
facultad de psicologia,1973,21,18,0,9,23,30,1,102,0.6190476190476191,0.2777777777777778,0,0,0.6956521739130435,0.1,1,0.37254901960784315,0,35,24,102,79,1,241,0,0.3142857142857143,0.4583333333333333,0.3333333333333333,0.6455696202531646,0.44398340248962653,1,19,1,7,24,52,1,0.5789473684210527,0,0.42857142857142855,0.2916666666666667,0.4230769230769231,3871,0.6019116507362439,0.94678377680186,0.9407725321888412,0.6666666666666666,18,1008,2,158,0,0,13,240,0,0,0,0,0,0,0,0
facultad de psicologia,1974,22,16,0,8,42,40,2,122,0.5454545454545454,0.3125,0,0,0.6428571428571429,0.075,1,0.4016393442622951,0,43,28,94,78,1,244,0,0.3488372093023256,0.42857142857142855,0.3191489361702128,0.5897435897435898,0.4221311475409836,5,22,1,4,21,52,0.2,0.5454545454545454,0,0.75,0.14285714285714285,0.36538461538461536,3259,0.6047867444001227,0.9030377416385394,0.8985286656519533,0.6,28,1568,2,158,0,0,13,240,0,0,0,0,0,0,0,0
facultad de psicologia,1975,34,17,0,7,80,5,2,138,0.4117647058823529,0.6470588235294118,0,0,0.475,0,0.5,0.463768115942029,0,39,30,87,75,15,246,0,0.41025641025641024,0.5,0.3448275862068966,0.6266666666666667,0.4390243902439024,5,30,1,3,24,59,0.2,0.6,0,0.6666666666666666,0.3333333333333333,0.4576271186440678,4060,0.6182266009852216,0.9793103448275862,0.9804780876494024,0.6666666666666666,24,1200,2,158,0,0,14,240,0,0,0,0,0,0,0,0
facultad de psicologia,1976,30,17,0,6,68,37,1,159,0.3333333333333333,0.17647058823529413,0,0,0.7205882352941176,0.08108108108108109,0,0.4088050314465409,0,60,31,88,89,19,287,0,0.5166666666666667,0.5483870967741935,0.4204545454545454,0.5955056179775281,0.4808362369337979,6,18,1,2,19,45,0.16666666666666666,0.6666666666666666,0,0,0.3684210526315789,0.4444444444444444,5314,0.6505457282649605,0.9463680843056078,0.938964420017356,0.5,26,1332,1,400,0,0,16,320,0,0,0,0,0,0,0,0
facultad de psicologia,1977,19,16,0,6,52,42,10,139,0.5263157894736842,0.1875,0,0,0.6923076923076923,0.09523809523809525,0.4,0.4100719424460432,0,69,29,87,85,20,290,0,0.4492753623188406,0.5862068965517241,0.40229885057471265,0.5764705882352941,0.4551724137931034,6,15,1,3,15,39,0.16666666666666666,0.6666666666666666,0,0.3333333333333333,0.4,0.4615384615384616,4921,0.6498679130258077,0.9449298922983134,0.9618511569731082,0.5,29,1550,2,120,0,0,16,320,0,0,0,0,0,0,0,0
facultad de psicologia,1978,25,26,0,6,43,50,3,147,0.56,0.34615384615384615,0,0,0.7441860465116279,0.1,0.6666666666666666,0.4217687074829932,0,87,29,96,88,24,324,0,0.47126436781609193,0.4827586206896552,0.4583333333333333,0.5227272727272727,0.44753086419753085,8,26,1,3,2,39,0.125,0.6923076923076923,0,0.6666666666666666,0,0.5384615384615384,4094,0.6914997557401075,1,1,1,31,1360,2,175,0,0,10,200,0,0,0,0,0,0,0,0
facultad de psicologia,1979,64,29,0,6,50,47,13,203,0.546875,0.3103448275862069,0,0,0.84,0.14893617021276595,0.5384615384615384,0.49261083743842365,0,90,34,168,78,0,370,0,0.5,0.5294117647058824,0.4642857142857143,0.5256410256410257,0.4918918918918919,10,27,1,6,2,45,0.2,0.5185185185185185,0,0.5,0.5,0.4444444444444444,3451,0.6925528832222544,1,1,1,31,1360,2,175,0,0,10,200,0,0,0,0,0,0,0,0
facultad de quimica,1959,20,41,42,9,26,66,3,114,0.55,0.24390243902439024,0.09523809523809525,0,0.5769230769230769,0.09090909090909093,0.3333333333333333,0.21929824561403508,0,2,1,118,134,0,255,0,0,0,0.05084745762711865,0.3358208955223881,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2392,0.32065217391304346,0.5710702341137124,0.5488917861799217,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
