year,a,b,c,d,clusters,maxangle,maxclus,minclus,minangle
1969,-0.45654851474291447,-0.18600903146721812,0.3253228648667368,-0.08991116723722879,3,2.171084596047443,4,1,0.7258008214947652
1969,-0.3680157520905959,-0.27507820866744964,0.839809274749847,0.22229233797736264,4,1.9772241879363572,2,1,0.12959515175827893
1970,0.4775020609704319,0.0162233061394696,0.00339973266376269,0.05451966378097349,1,1.5364387998063314,1,2,1.146642794229475
1970,-0.33029596716273796,-0.05113231754606268,0.07701512329868564,0.04251177325813739,2,2.026686019132649,2,1,1.266957437038617
1971,0.47352689399266895,0.34823940512125834,0.16091004306835713,0.2741864725069248,1,2.765482839803613,12,2,0.8054891799513408
1971,-0.21000437308631983,-0.05736466944566891,0.0963215064754734,-0.11994035014690278,2,2.5317760125205284,2,12,0.4003300833862653
1972,0.21981415677354327,-0.03213993792170833,0.17912321941760628,0.18945956599296349,1,2.210532435112876,4,5,0.8436510464511427
1972,-0.18559769386554031,0.27273186035466046,-0.2835367655220479,-0.07971236077161409,2,1.9296271796400177,2,4,0.39184944615751993
1973,-0.33284033461735585,-0.30926871535211986,0.4100432563736629,-0.10905539929073604,1,2.1945079081990952,5,1,0.6115009767405021
1973,-0.05231179617375186,0.33448127514714393,0.11999155919210076,-0.11296107122312304,2,2.290365549947022,4,3,0.5785416371972683
1973,-0.3499171788154147,-0.24568778222908028,-0.31570690832925463,-0.12372502185799278,3,2.462868348295425,3,4,0.5507435614754032
1973,0.1314394755738468,0.07770318650723489,-0.11132069272611644,0.43783111735568114,4,1.7964243440616132,3,5,0.5700635049193031
1973,-0.1722003863342616,-0.03203054657242724,-0.12390193061866696,-0.09511941914883142,5,2.1200702812896046,2,4,0.8550945173293577
1973,0.5042879286011178,1.2419690342427163,0.9257015586293508,-0.4567559890673468,6,2.8004874244297016,4,3,0.08401860921805111
1973,-0.29119378645017335,-0.9536888192782144,1.4525558226409068,0.4723745100719021,7,1.7949219997976562,5,1,0.09570177652146787
1973,2.001855343039449,-0.4086081759255252,-0.02807684992019488,-0.3093217741197619,8,2.072865037522247,4,2,0.13375834647349838
1974,-0.5165107961368689,-0.3880025183823327,-0.41092871418589344,0.04729207993839211,1,2.6740541224366137,3,4,0.46444871572403895
1974,1.8047598539546867,-0.554178727379732,-0.03082629595646013,0.31364892602798433,2,2.201423736722721,4,2,0.14032359305210756
1974,-0.3885889636843867,-0.5081483398960416,0.8115024269157884,-0.03060305839285424,3,1.855326562256737,4,1,0.2569397079195479
1974,-0.28291720134359977,-0.08215856653937958,-0.2375270895034047,0.18667498583154923,4,2.5109662566071282,3,4,0.48206996205873565
1974,0.05700500760222187,0.1413913445574232,-0.05356374541312154,-0.21135121512497393,5,1.9438818665840856,1,3,0.8155894949481438
1974,0.44394855991329185,1.316290014679515,0.7903288252522384,0.5480181398298574,6,2.2042009079288625,4,5,0.2134283763514636
1975,0.2789640485862937,-0.213318570188358,0.1863397754451669,-0.18686110035596368,1,1.8975608793706293,3,1,1.5220451395499919
1975,-0.533725200240218,-0.03970912186458518,-0.20575791057140255,0.5174681663943237,2,1.6970341752738711,1,3,1.4438395766869951
1975,-0.21559764867416867,-0.0988583975605129,-0.14684056093079867,0.06312624358290424,3,2.1076332224432788,1,3,0.9615316201194782
1975,1.4001258860038257,0.949692347177018,-0.6023292660851659,0.6827257589588017,4,1.705203526700378,3,2,0.262853270212473
1975,-0.6066151017850832,1.126508978593747,0.921049617145844,-0.02072130868603947,5,2.0038847258045203,3,1,0.5007704206627444
1976,1.378790999755511,0.388746484145682,-0.20022049026383756,0.3629552270677575,1,1.9287250263397824,3,2,0.18333773282985213
1976,-0.3952370001058852,0.9667950963867596,0.607477357157426,0.08603417773603109,2,2.169079532610799,5,4,0.3704004856230497
1976,-0.13588898140765757,-0.12303850356780668,-0.03586076923566752,0.02045630385708578,3,2.4061080131669756,2,3,1.1172700747299706
1977,1.246134808573874,-2.914501803057185e-5,-0.2672108194128724,0.2541197946496189,1,2.558844297111349,3,1,0.3004653170052638
1977,-0.07496945052391009,1.593417651145666,0.6570948940159118,0.03080322633177787,2,1.755158215074185,1,4,0.0982554589576393
1977,-0.2795618643582211,-0.06454549593503296,-0.04588544556672059,0.01188982890212594,3,2.538325651468383,1,3,0.7060910541078972
1978,0.4125345404234671,-1.161704851687923,0.9689980270079412,0.8328906218805443,1,2.440011187537066,4,1,0.10031631141897819
1978,-0.14589352460668104,0.06619396556003448,0.3268565603829783,-0.3115225491000525,2,2.123932552895094,7,5,0.6008760103399133
1978,-0.39516819677833226,0.04590881003893294,-0.2214205037738557,0.11063736771165245,3,2.2610890823690073,7,6,0.49934275178566895
1978,1.1819419211470112,0.19313080285722253,-0.32036950984311213,0.12041410650336148,4,2.4774098401049836,3,7,0.044881614435533256
1978,-0.29167374948440694,2.1003048989438096,1.7627915097471405,0.5201377299758443,5,2.0815615715016746,4,2,0.08001665976769694
1979,0.2961221136848205,-0.8091337704151639,1.2504960293549754,0.8072101170228091,1,1.932720415267109,3,1,0.09598458389445873
1979,-0.08917885564636305,-0.1183963790592161,0.3987312604286508,-0.703607712247285,2,2.693802076643707,3,4,1.02221268451499
1979,-0.37116579118137777,0.05810527294156217,-0.16098069798074954,0.09599805223905812,3,2.3504727957404326,2,4,0.8607440284618678
1979,0.9707462456163356,0.07639277436834839,-0.29810948667185033,0.09683697582326344,4,2.7113567010448034,4,2,0.023996080655698044
1979,-0.3011394908844026,2.511899858262124,1.1122222126699215,0.4291226269091218,5,1.7290301471976819,2,5,0.08047667756665733
