year,a,b,c,d,point,w,conta,contb,contc,contd,dist,udist,wdist,clusters,maxclus,maxangle,minclus,minangle
1966,0.20117346842255884,-0.11806227460830536,0.2900530260864576,0.3604374600918651,ffyl,0.05624574559141774,1.2603410143981235,0.4779051345619077,6.264323054463887,38.99363940213909,0.518126804616626,0.8495259053534092,0.05406433206815075,2,11,2.735382943672776,10,0.6187088225438937
1966,-0.08227953665054591,0.12816308368024726,-0.26169263084694677,0.05841907753526629,fmvz,0.04924210971310053,0.18457688404996803,0.49305148824589745,4.46425819685955,0.8967890423699766,0.30836912917723525,0.7637086881834937,0.0472323433745404,1,24,2.5742619955638406,1,0.6275329535344933
1966,-0.7582849515341316,0.6863122651982125,-0.5371372996921595,-0.06279680165259079,fo,0.04572730598390247,14.55785785075465,13.129520404761893,17.465294197167307,0.9622655044086014,1.156927184442911,1.3893492543010897,0.08957156359383081,1,24,2.5742619955638406,1,0.6275329535344933
1967,-0.49889031047110527,-0.5656797036750203,1.1830442700009611,-0.04110774389986683,enap,0.0229441402363732,2.936447001827225,8.485364714217042,40.14326497908747,0.15400803376871605,1.403626966263636,1.516668881752831,0.10689648547063968,4,3,1.9391092842101345,1,0.13615267361244912
1967,0.3863776935239741,0.2284341444541531,0.03643790051204351,0.13724526397921713,eneo,0.01321009621353694,1.014075551454398,0.7966830015229026,0.02192560486177319,0.988382432892993,0.4707800585027551,0.7686347677460902,0.0507510688248337,1,1,1.7481859271023998,3,1.040618032595182
1967,-0.2808951743339211,0.1863545380070872,-0.10206999836864154,0.10168220877779482,escuela nacional de musica,0.02151449343226914,0.8728908111649258,0.8635124480231133,0.28019878736797565,0.8835789712889314,0.3665892373608701,0.6735536068440857,0.04515357622267196,2,3,1.9836130433727344,2,1.6914361477635351
1967,-0.4785794054273764,-0.1927115320271718,0.44786292113901494,-0.04464375136966962,facultad de arquitectura,0.08498123378779543,10.008552785035551,3.64750563776911,21.308464716314056,0.6727732217078896,0.6846533740098044,0.8990665921983831,0.06105678922654556,3,3,2.0769825527796035,1,0.5472096844589972
1967,0.3132194429902768,0.21444458223767865,0.05884592068486975,0.07321238251083625,facultad de ciencias,0.05501655541310326,2.7754350072956333,2.924025022375909,0.2381579211488532,1.171350262632825,0.3910444906304074,0.7223512527317477,0.04733268953534709,1,1,1.7481859271023998,3,1.040618032595182
1967,-0.48563220497163473,-0.06105734494498917,-0.35554241220097593,-0.05712853022074918,facultad de contaduria y administracion,0.1049420206632002,12.726372229857963,0.4521502596715504,16.583307826143944,1.3604413616379936,0.6076518030222695,0.8437405443303155,0.05264382323422506,2,3,1.9836130433727344,2,1.6914361477635351
1967,-0.25035911152058227,0.15695328653629173,-0.15102426196302768,0.22524153109323936,facultad de derecho,0.06009409528146117,1.936862741275825,1.7109218048046109,1.7134212795599857,12.11024825913628,0.4010686897610216,0.6981204837863284,0.04664318913177553,2,3,1.9836130433727344,2,1.6914361477635351
1967,-0.34112078230562737,0.11961696910427104,-0.19628550235077952,0.03657212669075565,facultad de economia,0.04156389701085834,2.486983238976655,0.6873206302576069,2.0018503969452586,0.22082131637074057,0.4129614101853561,0.697882565399974,0.04559897954356581,2,3,1.9836130433727344,2,1.6914361477635351
1967,-0.3657802426538265,-0.08688454471331573,-0.21867306980623705,-0.1079170592159067,facultad de ingenieria,0.14473704746724722,9.95773207274184,1.2627643144143763,8.651854824299301,6.695518535807499,0.4481161826515812,0.7372093832298587,0.04579788800178838,2,3,1.9836130433727344,2,1.6914361477635351
1967,0.3456660201577803,0.4423661242658756,0.13394069888277987,-0.09794202646637776,facultad de medicina,0.18492155112862033,11.361643204369708,41.8223838168644,4.147167342211784,7.046119462085911,0.585410571099702,0.8633136247907295,0.05304278171672823,1,1,1.7481859271023998,3,1.040618032595182
1967,0.7028886180368813,-0.4818220693367559,-0.15417260012552347,0.1083503875530637,facultad de quimica,0.10246212547696856,26.030147110653424,27.4912362147449,3.044504814980408,4.778027028234816,0.8727622316405047,1.0860414774245162,0.07068625875606348,1,1,1.7481859271023998,3,1.040618032595182
1967,-0.25559808930515104,0.06000508212018825,0.08914822100814812,-0.2339247781505943,fcpys,0.02278482756155134,0.7654224436473838,0.09481550157519604,0.2263653862151469,4.952477396157838,0.36276604069071416,0.7105918137161561,0.04724904449369303,2,3,1.9836130433727344,2,1.6914361477635351
1967,-0.09290399160826228,0.1259990973691459,0.1458098430135604,0.4813667641096941,ffyl,0.05323005153436526,0.236246767322124,0.9766732348582424,1.4147167067985815,48.992927667918565,0.5267650293097147,0.798586266411051,0.05464353458036603,2,3,1.9836130433727344,2,1.6914361477635351
1967,0.16984328881553323,-0.24146671374996395,0.04962043355806258,0.00208861394254255,fmvz,0.04685526147425083,0.6950169364750254,3.1574060790900145,0.1442176404784301,8.118934070688188e-4,0.29936510541406586,0.7059523404357781,0.04727493385579941,1,1,1.7481859271023998,3,1.040618032595182
1967,0.879248595997441,-0.3456960855928384,-0.03977631696496805,-0.24823658688421416,fo,0.04074260331839888,16.19617209790235,5.627237319811062,0.08058177358702805,9.972514156951975,0.977643818380142,1.1779408483849516,0.07771544688416433,1,1,1.7481859271023998,3,1.040618032595182
1968,-0.4098890728574567,-0.23115003725632388,0.6509177148572742,0.02245119768448949,enap,0.02444962888665682,1.8373757469859664,1.3575963410694436,24.272204073853345,0.03972177638212169,0.8035156000750883,0.9698694612313588,0.0683616382120725,4,3,2.1295284006067963,2,1.4325296023584086
1968,0.3743861643595694,0.14169295762676967,-0.11402809790897574,0.3391120684837872,eneo,0.0115705425476491,0.725414666271876,0.2414130298772214,0.35250253518653396,4.288620117226334,0.5368810821857889,0.780458942758624,0.05640419660728034,1,1,1.2149834644590112,2,1.0446064585321526
1968,-0.357440896561505,0.06592689793439582,-0.08029105212944825,0.14331435570626053,escuela nacional de musica,0.02083627309872827,1.1907526292962938,0.09411433447051867,0.31473069448203056,1.3793573554480054,0.3988684093902388,0.6493300500319659,0.04622731511417472,2,2,2.0406971978055553,1,1.5832277115379998
1968,-0.5054261649070062,-0.16808159585390428,0.35841386470072867,-0.12231475388744902,facultad de arquitectura,0.10386673854571654,11.868202910756834,3.0494904124629354,31.263014977500458,5.008544645045019,0.6535506319067093,0.8467576517794903,0.05733119084876932,3,3,2.2017088489529897,2,1.750610751016219
1968,0.28123464582846375,0.28395349073817167,-0.01583634235869477,0.0831561654286965,facultad de ciencias,0.04881633512642747,1.7270139306085484,4.090440196419867,0.0286853198605325,1.088006384306949,0.4085195815438483,0.7112893011240881,0.04925865557318176,1,1,1.2149834644590112,2,1.0446064585321526
1968,-0.501394564405246,-0.11830584975771222,-0.2874962762715208,-0.08001155340036432,facultad de contaduria y administracion,0.12482646694320902,14.036503815383492,1.8156392763186873,24.174410229003232,2.575665411067906,0.5953559782596886,0.8097278119347451,0.05227047652961154,2,2,2.0406971978055553,1,1.5832277115379998
1968,-0.26826888614971983,0.137739212270093,-0.15996195439080402,0.33937833000384243,facultad de derecho,0.05516195667832335,1.7757151564286475,1.0875902473044314,3.3071799572401352,20.47789172309024,0.4813582487103755,0.7087737625898108,0.05098737132379715,2,2,2.0406971978055553,1,1.5832277115379998
1968,-0.38703517254488135,0.01949033000182595,-0.19164966303881245,0.1582961602404933,facultad de economia,0.03806163167634986,2.550241431682951,0.01502575277656722,3.2755805483484286,3.0740117695060807,0.4603947930202952,0.6871324057976353,0.04809256047218141,2,2,2.0406971978055553,1,1.5832277115379998
1968,-0.32778083826308385,-0.13772386395898256,-0.11385631187155376,-0.08283253373124248,facultad de ingenieria,0.13380627172259835,6.430379727633909,2.6375780455283295,4.0642035843614,2.9590733112405494,0.38240375133302784,0.6771421436095223,0.04424634626475941,2,2,2.0406971978055553,1,1.5832277115379998
1968,0.3246165482947098,0.531025873644896,0.03020865487111705,-0.1072083300443687,facultad de medicina,0.17579905693627937,8.286113514789022,51.51792434626756,0.3758928605491602,6.512548435176152,0.6322741262831504,0.8798027935155235,0.05626222666632758,1,1,1.2149834644590112,2,1.0446064585321526
1968,0.8868142820443466,-0.5157692343420999,-0.04859607226749381,0.01096491575036974,facultad de quimica,0.10833176885789114,38.1078299446889,29.94864321380753,0.5994361552534381,0.04198013158592752,1.0271023715038856,1.1963852545171314,0.07965616722437385,1,1,1.2149834644590112,2,1.0446064585321526
1968,-0.22673942921307472,0.20257250148599815,0.08980249215017745,-0.2436044704730364,fcpys,0.02204686120947755,0.5069835787560056,0.9401955731627956,0.416589488546192,4.216912978569063,0.3998174742917033,0.7192877338114416,0.04917058300067065,2,2,2.0406971978055553,1,1.5832277115379998
1968,0.04463189144113792,0.07396669008132699,0.1981918812021957,0.4850352787313906,ffyl,0.05258138848132247,0.0468506543279885,0.29896123011951115,4.839366692437184,39.87090272492658,0.5310389066383965,0.7581975674179428,0.05568355554518948,1,1,1.2149834644590112,2,1.0446064585321526
1968,0.1983799178049004,-0.2125035686838174,0.15944188621227004,0.0946024214418392,fmvz,0.04324866116298779,0.761309249383065,2.029623931364776,2.576097379106608,1.247540162910871,0.34479514456155375,0.6918183976634387,0.04953967642399989,1,1,1.2149834644590112,2,1.0446064585321526
1968,0.7874128905735225,-0.1517466265435593,-0.04042182595145485,-0.24739291561111493,fo,0.03659641812638285,10.149313043006586,0.8757640690498188,0.14010550427139076,7.219223073518101,0.8401686007085235,1.0480741539788556,0.0706616178680535,1,1,1.2149834644590112,2,1.0446064585321526
1969,-0.3680157520905959,-0.27507820866744964,0.839809274749847,0.22229233797736264,enap,0.02451025441511286,1.5694852616406083,2.3780492991027335,38.48298116235638,4.358462888074645,0.982749772907532,1.1214990496791484,0.07910523835409275,4,2,1.9772241879363572,1,0.12959515175827893
1969,0.25126517010069777,0.16257359405647948,-0.1191724585641738,0.06716733952726431,eneo,0.01579577781444232,0.4715005525791701,0.5353054801809292,0.49940440656580687,0.25644477509004854,0.32905605232174967,0.6606691248681376,0.04644081077927026,1,1,1.8375261155991345,4,1.1292369535131257
1969,-0.34591886237961356,0.0433740388356206,-0.0992791638401417,-0.00495771141315193,escuela nacional de musica,0.01988818515354752,1.1251754528766538,0.04797506169192979,0.43638612301531016,0.00175911481609741,0.3625218584722496,0.6212771479210167,0.04239715543590227,2,2,1.8794104602523771,3,1.411297925897586
1969,-0.45654851474291447,-0.18600903146721812,0.3253228648667368,-0.08991116723722879,facultad de arquitectura,0.1016459752181559,10.01706892090179,4.509401544460942,23.94853320244552,2.957018246770979,0.5974570197933871,0.8072526148873606,0.05343094286508781,3,4,2.171084596047443,1,0.7258008214947652
